date demand demandChange inventoryPosition leadTime orderQuantity
2019-07-02 0 0 0 0 0 
2019-07-03 0 0 0 24 0 
2019-07-04 0 0 0 24 0 
2019-07-05 0 0 0 24 0 
2019-07-08 0 0 0 24 0 
2019-07-09 0 0 0 24 0 
2019-07-10 0 0 0 0 0 
2019-07-11 0 0 0 24 0 
2019-07-12 0 0 0 24 0 
2019-07-15 0 0 0 24 0 
2019-07-16 0 0 0 24 0 
2019-07-17 14222 14222 0 24 31259 
2019-07-18 14222 0 0 24 31121 
2019-07-19 24247 10025 0 0 37545 
2019-07-22 24247 0 0 24 40460 
2019-07-23 24247 0 0 0 42341 
2019-07-24 24247 0 18094 24 25406 
2019-07-25 0 -24247 43500 0 0 
2019-07-26 8164 8164 35336 24 0 
2019-07-29 0 -8164 35336 24 0 
2019-07-30 0 0 35336 0 0 
2019-07-31 8005 8005 27331 24 0 
2019-08-01 0 -8005 27331 24 0 
2019-08-02 0 0 27331 0 0 
2019-08-05 0 0 27331 24 0 
2019-08-06 0 0 27331 24 0 
2019-08-07 0 0 27331 24 0 
2019-08-08 9202 9202 18129 24 17767 
2019-08-09 0 -9202 35896 24 0 
2019-08-12 0 0 35896 24 0 
2019-08-13 0 0 35896 0 0 
2019-08-14 0 0 35896 0 0 
2019-08-15 0 0 35896 24 0 
2019-08-16 0 0 35896 24 0 
2019-08-19 0 0 35896 24 0 
2019-08-20 7500 7500 28396 24 0 
2019-08-21 0 -7500 28396 24 0 
2019-08-22 0 0 28396 24 0 
2019-08-23 0 0 28396 24 0 
2019-08-26 0 0 28396 24 0 
2019-08-27 0 0 28396 0 0 
2019-08-28 0 0 28396 24 0 
2019-08-29 10608 10608 17788 24 15494 
2019-08-30 0 -10608 33282 24 0 
2019-09-02 0 0 33282 24 0 
2019-09-03 0 0 33282 24 0 
2019-09-04 0 0 33282 24 0 
2019-09-05 7676 7676 25606 24 0 
2019-09-06 0 -7676 25606 24 0 
2019-09-09 0 0 25606 24 0 
2019-09-10 0 0 25606 24 0 
2019-09-11 9626 9626 15980 24 15304 
2019-09-12 0 -9626 31284 24 0 
2019-09-13 0 0 31284 0 0 
2019-09-16 0 0 31284 24 0 
2019-09-17 0 0 31284 24 0 
2019-09-18 0 0 31284 24 0 
2019-09-19 10439 10439 20845 0 0 
2019-09-20 0 -10439 20845 24 0 
2019-09-23 0 0 20845 0 0 
2019-09-24 10068 10068 10777 24 19568 
2019-09-25 0 -10068 30345 24 0 
2019-09-26 0 0 30345 24 0 
2019-09-27 0 0 30345 24 0 
2019-09-30 0 0 30345 24 0 
2019-10-01 0 0 30345 0 0 
2019-10-02 10309 10309 20036 24 0 
2019-10-03 0 -10309 20036 0 0 
2019-10-04 0 0 20036 0 0 
2019-10-07 0 0 20036 24 0 
2019-10-08 0 0 20036 0 0 
2019-10-09 0 0 20036 24 0 
2019-10-10 0 0 20036 24 0 
2019-10-11 0 0 20036 24 0 
2019-10-14 0 0 20036 24 0 
2019-10-15 0 0 20036 24 0 
2019-10-16 0 0 20036 0 0 
2019-10-17 11047 11047 8989 24 20695 
2019-10-18 0 -11047 29684 24 0 
2019-10-21 0 0 29684 24 0 
2019-10-22 0 0 29684 24 0 
2019-10-23 0 0 29684 24 0 
2019-10-24 0 0 29684 0 0 
2019-10-25 0 0 29684 24 0 
2019-10-28 0 0 29684 24 0 
2019-10-29 11595 11595 18089 24 11392 
2019-10-30 0 -11595 29481 24 0 
2019-10-31 10156 10156 19325 24 0 
2019-11-01 0 -10156 19325 24 0 
2019-11-04 0 0 19325 24 0 
2019-11-05 0 0 19325 24 0 
2019-11-06 0 0 19325 0 0 
2019-11-07 0 0 19325 24 0 
2019-11-08 8768 8768 10557 24 18195 
2019-11-11 0 -8768 28752 24 0 
2019-11-12 0 0 28752 24 0 
2019-11-13 0 0 28752 24 0 
2019-11-14 0 0 28752 0 0 
2019-11-15 0 0 28752 24 0 
2019-11-18 7178 7178 21574 24 0 
2019-11-19 0 -7178 21574 0 0 
2019-11-20 0 0 21574 0 0 
2019-11-21 0 0 21574 24 0 
2019-11-22 0 0 21574 0 0 
2019-11-25 0 0 21574 24 0 
2019-11-26 10975 10975 10599 0 17528 
2019-11-27 0 -10975 28127 24 0 
2019-11-28 0 0 28127 24 0 
2019-11-29 0 0 28127 24 0 
2019-12-02 0 0 28127 24 0 
2019-12-03 9297 9297 18830 24 0 
2019-12-04 0 -9297 18830 24 0 
2019-12-05 0 0 18830 24 0 
2019-12-06 0 0 18830 24 0 
2019-12-09 0 0 18830 24 0 
2019-12-10 10555 10555 8275 24 19418 
2019-12-11 0 -10555 27693 24 0 
2019-12-12 0 0 27693 24 0 
2019-12-13 0 0 27693 24 0 
2019-12-16 0 0 27693 24 0 
2019-12-17 11900 11900 15793 24 11847 
2019-12-18 0 -11900 27640 24 0 
2019-12-19 0 0 27640 24 0 
2019-12-20 0 0 27640 24 0 
2019-12-23 0 0 27640 24 0 
2019-12-24 11193 11193 16447 24 11089 
2019-12-25 8100 -3093 19436 24 0 
2019-12-26 0 -8100 19436 24 0 
2019-12-27 0 0 19436 24 0 
2019-12-30 0 0 19436 0 0 
2019-12-31 0 0 19436 24 0 
2020-01-01 0 0 19436 24 0 
2020-01-02 8326 8326 11110 24 15874 
2020-01-03 0 -8326 26984 24 0 
2020-01-06 0 0 26984 24 0 
2020-01-07 0 0 26984 24 0 
2020-01-08 0 0 26984 24 0 
2020-01-09 0 0 26984 24 0 
2020-01-10 0 0 26984 24 0 
2020-01-13 0 0 26984 24 0 
2020-01-14 0 0 26984 24 0 
2020-01-15 0 0 26984 24 0 
2020-01-16 0 0 26984 24 0 
2020-01-17 0 0 26984 24 0 
2020-01-20 0 0 26984 24 0 
2020-01-21 0 0 26984 24 0 
2020-01-22 10335 10335 16649 0 10183 
2020-01-23 12496 2161 14336 24 12524 
2020-01-24 0 -12496 26860 24 0 
2020-01-27 0 0 26860 24 0 
2020-01-28 0 0 26860 24 0 
2020-01-29 0 0 26860 24 0 
2020-01-30 0 0 26860 24 0 
2020-01-31 0 0 26860 0 0 
2020-02-03 7803 7803 19057 24 0 
2020-02-04 0 -7803 19057 0 0 
2020-02-05 0 0 19057 24 0 
2020-02-06 0 0 19057 24 0 
2020-02-07 9907 9907 9150 24 17349 
2020-02-10 0 -9907 26499 24 0 
2020-02-11 0 0 26499 0 0 
2020-02-12 0 0 26499 24 0 
2020-02-13 0 0 26499 24 0 
2020-02-14 0 0 26499 24 0 
2020-02-17 0 0 26499 24 0 
2020-02-18 0 0 26499 24 0 
2020-02-19 0 0 26499 24 0 
2020-02-20 10801 10801 15698 24 10728 
2020-02-21 12711 1910 13715 24 12760 
2020-02-24 0 -12711 26475 24 0 
2020-02-25 8327 8327 18148 24 0 
2020-02-26 0 -8327 18148 24 0 
2020-02-27 0 0 18148 24 0 
2020-02-28 0 0 18148 24 0 
2020-03-02 0 0 18148 24 0 
2020-03-03 0 0 18148 0 0 
2020-03-04 0 0 18148 0 0 
2020-03-05 0 0 18148 24 0 
2020-03-06 9377 9377 8771 24 17408 
2020-03-09 0 -9377 26179 24 0 
2020-03-10 8661 8661 17518 0 0 
2020-03-11 0 -8661 17518 24 0 
2020-03-12 0 0 17518 0 0 
2020-03-13 0 0 17518 0 0 
2020-03-16 0 0 17518 24 0 
2020-03-17 0 0 17518 0 0 
2020-03-18 0 0 17518 24 0 
2020-03-19 9547 9547 7971 24 18012 
2020-03-20 0 -9547 25983 24 0 
2020-03-23 0 0 25983 0 0 
2020-03-24 8402 8402 17581 24 0 
2020-03-25 0 -8402 17581 0 0 
2020-03-26 0 0 17581 24 0 
2020-03-27 0 0 17581 24 0 
2020-03-30 12184 12184 5397 24 20485 
2020-03-31 9467 -2717 16415 24 9376 
2020-04-01 0 -9467 25791 0 0 
2020-04-02 0 0 25791 24 0 
2020-04-03 0 0 25791 24 0 
2020-04-06 0 0 25791 24 0 
2020-04-07 9991 9991 15800 24 9929 
2020-04-08 0 -9991 25729 24 0 
2020-04-09 0 0 25729 0 0 
2020-04-10 0 0 25729 24 0 
2020-04-13 0 0 25729 24 0 
2020-04-14 0 0 25729 0 0 
2020-04-15 0 0 25729 24 0 
2020-04-16 0 0 25729 24 0 
2020-04-17 0 0 25729 24 0 
2020-04-20 0 0 25729 24 0 
2020-04-21 0 0 25729 24 0 
2020-04-22 10452 10452 15277 24 10412 
2020-04-23 0 -10452 25689 24 0 
2020-04-24 10149 10149 15540 24 10093 
2020-04-27 0 -10149 25633 24 0 
2020-04-28 0 0 25633 24 0 
2020-04-29 0 0 25633 24 0 
2020-04-30 0 0 25633 24 0 
2020-05-01 0 0 25633 24 0 
2020-05-04 0 0 25633 24 0 
2020-05-05 0 0 25633 24 0 
2020-05-06 0 0 25633 24 0 
2020-05-07 9183 9183 16450 24 0 
2020-05-08 0 -9183 16450 0 0 
2020-05-11 0 0 16450 24 0 
