date demand demandChange inventoryPosition orderQuantity
2019-07-02 0 0 3000 0 
2019-07-03 0 0 3000 0 
2019-07-04 0 0 3000 0 
2019-07-05 0 0 3000 0 
2019-07-08 0 0 3000 0 
2019-07-09 0 0 3000 0 
2019-07-10 0 0 3000 0 
2019-07-11 0 0 3000 0 
2019-07-12 0 0 3000 0 
2019-07-15 0 0 3000 0 
2019-07-16 0 0 3000 0 
2019-07-17 0 0 3000 0 
2019-07-18 0 0 3000 0 
2019-07-19 0 0 3000 0 
2019-07-22 0 0 3000 0 
2019-07-23 0 0 3000 0 
2019-07-24 0 0 3000 0 
2019-07-25 0 0 3000 0 
2019-07-26 0 0 3000 0 
2019-07-29 2783 2783 217 6230 
2019-07-30 0 -2783 6447 0 
2019-07-31 1500 1500 4947 0 
2019-08-01 0 -1500 4947 0 
2019-08-02 1500 1500 3447 0 
2019-08-05 0 -1500 3447 0 
2019-08-06 0 0 3447 0 
2019-08-07 0 0 3447 0 
2019-08-08 3000 3000 447 5004 
2019-08-09 0 -3000 5451 0 
2019-08-12 0 0 5451 0 
2019-08-13 0 0 5451 0 
2019-08-14 0 0 5451 0 
2019-08-15 2709 2709 2742 0 
2019-08-16 0 -2709 2742 0 
2019-08-19 0 0 2742 0 
2019-08-20 3291 3291 2742 0 
2019-08-21 0 -3291 2742 0 
2019-08-22 0 0 2742 0 
2019-08-23 0 0 2742 0 
2019-08-26 0 0 2742 0 
2019-08-27 0 0 2742 0 
2019-08-28 3216 3216 2742 0 
2019-08-29 0 -3216 2742 0 
2019-08-30 0 0 2742 0 
2019-09-02 0 0 2742 0 
2019-09-03 3000 3000 2742 0 
2019-09-04 0 -3000 2742 0 
2019-09-05 1500 1500 1242 4731 
2019-09-06 0 -1500 5973 0 
2019-09-09 0 0 5973 0 
2019-09-10 0 0 5973 0 
2019-09-11 2825 2825 3148 0 
2019-09-12 0 -2825 3148 0 
2019-09-13 0 0 3148 0 
2019-09-16 0 0 3148 0 
2019-09-17 0 0 3148 0 
2019-09-18 0 0 3148 0 
2019-09-19 2342 2342 806 5194 
2019-09-20 0 -2342 6000 0 
2019-09-23 0 0 6000 0 
2019-09-24 0 0 6000 0 
2019-09-25 3000 3000 3000 0 
2019-09-26 0 -3000 3000 0 
2019-09-27 1500 1500 1500 4430 
2019-09-30 0 -1500 5930 0 
2019-10-01 0 0 5930 0 
2019-10-02 0 0 5930 0 
2019-10-03 0 0 5930 0 
2019-10-04 0 0 5930 0 
2019-10-07 0 0 5930 0 
2019-10-08 3333 3333 2597 0 
2019-10-09 0 -3333 2597 0 
2019-10-10 0 0 2597 0 
2019-10-11 0 0 2597 0 
2019-10-14 3000 3000 2597 0 
2019-10-15 0 -3000 2597 0 
2019-10-16 0 0 2597 0 
2019-10-17 0 0 2597 0 
2019-10-18 0 0 2597 0 
2019-10-21 0 0 2597 0 
2019-10-22 0 0 2597 0 
