date demand demandChange inventoryPosition orderQuantity
2019-07-02 0 0 3000 0 
2019-07-03 0 0 3000 0 
2019-07-04 0 0 3000 0 
2019-07-05 0 0 3000 0 
2019-07-08 0 0 3000 0 
2019-07-09 0 0 3000 0 
2019-07-10 0 0 3000 0 
2019-07-11 0 0 3000 0 
2019-07-12 0 0 3000 0 
2019-07-15 0 0 3000 0 
2019-07-16 0 0 3000 0 
2019-07-17 0 0 3000 0 
2019-07-18 0 0 3000 0 
2019-07-19 0 0 3000 0 
2019-07-22 0 0 3000 0 
2019-07-23 0 0 3000 0 
2019-07-24 0 0 3000 0 
2019-07-25 0 0 3000 0 
2019-07-26 0 0 3000 0 
2019-07-29 0 0 3000 0 
2019-07-30 0 0 3000 0 
2019-07-31 0 0 3000 0 
2019-08-01 0 0 3000 0 
2019-08-02 0 0 3000 0 
2019-08-05 0 0 3000 0 
2019-08-06 0 0 3000 0 
2019-08-07 2937 2937 63 6849 
2019-08-08 0 -2937 6912 0 
2019-08-09 0 0 6912 0 
2019-08-12 0 0 6912 0 
2019-08-13 3063 3063 3849 0 
2019-08-14 0 -3063 3849 0 
2019-08-15 0 0 3849 0 
2019-08-16 0 0 3849 0 
2019-08-19 0 0 3849 0 
2019-08-20 0 0 3849 0 
2019-08-21 4500 4500 3849 0 
2019-08-22 0 -4500 3849 0 
2019-08-23 0 0 3849 0 
2019-08-26 0 0 3849 0 
2019-08-27 0 0 3849 0 
2019-08-28 0 0 3849 0 
2019-08-29 0 0 3849 0 
2019-08-30 4500 4500 3849 0 
2019-09-02 0 -4500 3849 0 
2019-09-03 0 0 3849 0 
2019-09-04 0 0 3849 0 
2019-09-05 0 0 3849 0 
2019-09-06 0 0 3849 0 
2019-09-09 0 0 3849 0 
2019-09-10 0 0 3849 0 
2019-09-11 0 0 3849 0 
2019-09-12 0 0 3849 0 
2019-09-13 3000 3000 849 7152 
2019-09-16 0 -3000 8001 0 
2019-09-17 0 0 8001 0 
2019-09-18 2250 2250 5751 0 
2019-09-19 0 -2250 5751 0 
2019-09-20 0 0 5751 0 
2019-09-23 0 0 5751 0 
2019-09-24 2583 2583 3168 4283 
2019-09-25 0 -2583 7451 0 
2019-09-26 1500 1500 5951 0 
2019-09-27 0 -1500 5951 0 
2019-09-30 0 0 5951 0 
2019-10-01 0 0 5951 0 
2019-10-02 3000 3000 2951 4128 
2019-10-03 0 -3000 7079 0 
2019-10-04 0 0 7079 0 
2019-10-07 0 0 7079 0 
2019-10-08 0 0 7079 0 
2019-10-09 0 0 7079 0 
2019-10-10 0 0 7079 0 
2019-10-11 0 0 7079 0 
2019-10-14 0 0 7079 0 
2019-10-15 4781 4781 2298 5071 
2019-10-16 0 -4781 7369 0 
2019-10-17 0 0 7369 0 
2019-10-18 0 0 7369 0 
2019-10-21 0 0 7369 0 
2019-10-22 0 0 7369 0 
2019-10-23 0 0 7369 0 
