date demand demandChange inventoryPosition orderQuantity
2019-07-02 0 0 3000 0 
2019-07-03 0 0 3000 0 
2019-07-04 0 0 3000 0 
2019-07-05 0 0 3000 0 
2019-07-08 0 0 3000 0 
2019-07-09 0 0 3000 0 
2019-07-10 0 0 3000 0 
2019-07-11 0 0 3000 0 
2019-07-12 0 0 3000 0 
2019-07-15 0 0 3000 0 
2019-07-16 0 0 3000 0 
2019-07-17 0 0 3000 0 
2019-07-18 0 0 3000 0 
2019-07-19 0 0 3000 0 
2019-07-22 0 0 3000 0 
2019-07-23 0 0 3000 0 
2019-07-24 0 0 3000 0 
2019-07-25 0 0 3000 0 
2019-07-26 0 0 3000 0 
2019-07-29 0 0 3000 0 
2019-07-30 0 0 3000 0 
2019-07-31 0 0 3000 0 
2019-08-01 0 0 3000 0 
2019-08-02 0 0 3000 0 
2019-08-05 0 0 3000 0 
2019-08-06 0 0 3000 0 
2019-08-07 0 0 3000 0 
2019-08-08 3750 3750 3000 5242 
2019-08-09 0 -3750 8242 0 
2019-08-12 0 0 8242 0 
2019-08-13 2250 2250 5992 0 
2019-08-14 0 -2250 5992 0 
2019-08-15 0 0 5992 0 
2019-08-16 0 0 5992 0 
2019-08-19 0 0 5992 0 
2019-08-20 0 0 5992 0 
2019-08-21 0 0 5992 0 
2019-08-22 3247 3247 2745 4410 
2019-08-23 0 -3247 7155 0 
2019-08-26 2592 2592 4563 0 
2019-08-27 0 -2592 4563 0 
2019-08-28 0 0 4563 0 
2019-08-29 3136 3136 1427 5582 
2019-08-30 0 -3136 7009 0 
2019-09-02 0 0 7009 0 
2019-09-03 0 0 7009 0 
2019-09-04 0 0 7009 0 
2019-09-05 0 0 7009 0 
2019-09-06 0 0 7009 0 
2019-09-09 0 0 7009 0 
2019-09-10 0 0 7009 0 
2019-09-11 0 0 7009 0 
2019-09-12 0 0 7009 0 
2019-09-13 0 0 7009 0 
2019-09-16 3428 3428 3581 0 
2019-09-17 0 -3428 3581 0 
2019-09-18 0 0 3581 0 
2019-09-19 0 0 3581 0 
2019-09-20 0 0 3581 0 
2019-09-23 2855 2855 726 6353 
2019-09-24 0 -2855 7079 0 
2019-09-25 0 0 7079 0 
2019-09-26 0 0 7079 0 
2019-09-27 3571 3571 3508 0 
2019-09-30 0 -3571 3508 0 
2019-10-01 0 0 3508 0 
2019-10-02 2504 2504 1004 6075 
2019-10-03 0 -2504 7079 0 
2019-10-04 0 0 7079 0 
2019-10-07 0 0 7079 0 
2019-10-08 0 0 7079 0 
2019-10-09 0 0 7079 0 
2019-10-10 2531 2531 4548 0 
2019-10-11 0 -2531 4548 0 
2019-10-14 0 0 4548 0 
2019-10-15 0 0 4548 0 
2019-10-16 3000 3000 1548 5449 
2019-10-17 0 -3000 6997 0 
2019-10-18 0 0 6997 0 
2019-10-21 0 0 6997 0 
2019-10-22 0 0 6997 0 
2019-10-23 0 0 6997 0 
