date demand demandChange inventoryPosition leadTime marketPrice orderQuantity
2019-07-02 0 0 20000 24 0.21 0 
2019-07-03 0 0 20000 72 0.21 0 
2019-07-04 0 0 20000 48 0.21 0 
2019-07-05 0 0 20000 24 0.21 0 
2019-07-08 0 0 20000 24 0.21 0 
2019-07-09 8905 8905 11095 24 0.21 26419 
2019-07-10 0 -8905 37514 48 0.21 0 
2019-07-11 7193 7193 30321 48 0.21 0 
2019-07-12 0 -7193 30321 120 0.21 14589 
2019-07-15 0 0 44910 120 0.21 0 
2019-07-16 0 0 44910 72 0.21 0 
2019-07-17 78752 78752 37029 120 0.21 151210 
2019-07-18 69950 -8802 188239 48 0.21 47477 
2019-07-19 89632 19682 221770 96 0.21 70566 
2019-07-22 78487 -11145 292336 48 0.21 0 
2019-07-23 106389 27902 206498 96 0.21 147523 
2019-07-24 56882 -49507 297139 24 0.21 47725 
2019-07-25 10770 -46112 334094 120 0.21 0 
2019-07-26 0 -10770 334094 96 0.21 0 
2019-07-29 15045 15045 319049 24 0.21 0 
2019-07-30 0 -15045 319049 96 0.21 0 
2019-07-31 0 0 319049 48 0.21 0 
2019-08-01 7910 7910 311139 72 0.21 0 
2019-08-02 7744 -166 303395 120 0.21 0 
2019-08-05 0 -7744 303395 24 0.21 0 
2019-08-06 0 0 303395 72 0.21 0 
2019-08-07 12722 12722 290673 72 0.21 0 
2019-08-08 43352 30630 247321 72 0.21 0 
2019-08-09 0 -43352 247321 120 0.21 0 
2019-08-12 0 0 247321 24 0.21 0 
2019-08-13 8704 8704 238617 96 0.21 0 
2019-08-14 8087 -617 230530 120 0.21 0 
2019-08-15 16088 8001 214442 96 0.21 0 
2019-08-16 11086 -5002 203356 96 0.21 0 
2019-08-19 0 -11086 203356 120 0.21 0 
2019-08-20 6751 6751 196605 24 0.21 0 
2019-08-21 0 -6751 196605 24 0.21 0 
2019-08-22 0 0 196605 48 0.21 0 
2019-08-23 5086 5086 191519 24 0.21 0 
2019-08-26 11808 6722 179711 96 0.21 0 
2019-08-27 0 -11808 179711 48 0.21 0 
2019-08-28 8955 8955 170756 96 0.21 0 
2019-08-29 15494 6539 155262 48 0.21 24701 
2019-08-30 7257 -8237 172706 48 0.21 0 
2019-09-02 0 -7257 172706 120 0.21 0 
2019-09-03 23790 23790 148916 120 0.21 27732 
2019-09-04 6376 -17414 170272 120 0.21 0 
2019-09-05 0 -6376 170272 24 0.21 0 
2019-09-06 0 0 170272 48 0.21 0 
2019-09-09 0 0 170272 48 0.21 0 
2019-09-10 8395 8395 161877 48 0.21 0 
2019-09-11 29577 21182 132300 120 0.21 35749 
2019-09-12 9027 -20550 159022 96 0.21 0 
2019-09-13 12525 3498 146497 24 0.21 0 
2019-09-16 15704 3179 130793 72 0.21 28069 
2019-09-17 0 -15704 158862 24 0.21 0 
2019-09-18 13599 13599 145263 48 0.21 0 
2019-09-19 0 -13599 145263 72 0.21 0 
2019-09-20 0 0 145263 120 0.21 0 
2019-09-23 8643 8643 136620 96 0.21 0 
2019-09-24 19568 10925 117052 48 0.21 34979 
2019-09-25 7926 -11642 144105 120 0.21 0 
2019-09-26 5287 -2639 138818 72 0.21 0 
2019-09-27 13645 8358 125173 120 0.21 21456 
2019-09-30 0 -13645 146629 120 0.21 0 
2019-10-01 19397 19397 127232 48 0.21 0 
2019-10-02 17837 -1560 109395 120 0.21 37298 
2019-10-03 0 -17837 146693 24 0.21 0 
2019-10-04 0 0 146693 24 0.21 0 
2019-10-07 0 0 146693 72 0.21 0 
2019-10-08 0 0 146693 48 0.21 0 
2019-10-09 8102 8102 138591 48 0.21 0 
2019-10-10 15322 7220 123269 24 0.21 0 
2019-10-11 0 -15322 123269 120 0.21 0 
2019-10-14 0 0 123269 24 0.21 0 
2019-10-15 14144 14144 109125 120 0.21 32073 
2019-10-16 15892 1748 125306 120 0.21 0 
2019-10-17 20695 4803 104611 48 0.21 35869 
2019-10-18 0 -20695 140480 96 0.21 0 
2019-10-21 0 0 140480 96 0.21 0 
2019-10-22 0 0 140480 120 0.25 0 
2019-10-23 9842 9842 130638 96 0.25 0 
2019-10-24 0 -9842 130638 24 0.25 0 
2019-10-25 0 0 130638 120 0.25 0 
2019-10-28 11316 11316 119322 120 0.25 20405 
2019-10-29 23748 12432 115979 72 0.25 23671 
2019-10-30 11151 -12597 128499 24 0.25 0 
2019-10-31 16120 4969 112379 48 0.25 24584 
2019-11-01 7380 -8740 129583 48 0.25 0 
2019-11-04 0 -7380 129583 120 0.25 0 
2019-11-05 0 0 129583 120 0.25 0 
2019-11-06 6413 6413 123170 96 0.25 0 
2019-11-07 21735 15322 101435 96 0.25 33216 
2019-11-08 52580 30845 82071 48 0.25 55775 
2019-11-11 8152 -44428 129694 96 0.25 0 
2019-11-12 0 -8152 129694 120 0.25 0 
2019-11-13 6084 6084 123610 96 0.25 0 
2019-11-14 5993 -91 117617 48 0.25 0 
2019-11-15 7461 1468 110156 24 0.25 21643 
2019-11-18 0 -7461 131799 120 0.25 0 
2019-11-19 0 0 131799 48 0.25 0 
2019-11-20 9424 9424 122375 48 0.25 0 
2019-11-21 31559 22135 90816 120 0.25 41394 
2019-11-22 0 -31559 132210 24 0.25 0 
2019-11-25 5494 5494 126716 120 0.25 0 
2019-11-26 17528 12034 109188 96 0.25 21596 
2019-11-27 0 -17528 130784 24 0.25 0 
2019-11-28 8175 8175 122609 24 0.25 0 
2019-11-29 22726 14551 99883 24 0.25 29395 
2019-12-02 16304 -6422 112974 24 0.25 0 
2019-12-03 0 -16304 112974 96 0.25 0 
