date demand demandChange inventoryPosition leadTime marketPrice orderQuantity
2019-07-02 0 0 2500 24 4.0 0 
2019-07-03 0 0 2500 96 4.0 0 
2019-07-04 0 0 2500 72 4.0 0 
2019-07-05 0 0 2500 96 4.0 0 
2019-07-08 0 0 2500 96 4.0 0 
2019-07-09 1336 1336 1164 24 4.0 7508 
2019-07-10 0 -1336 8672 24 4.0 0 
2019-07-11 0 0 8672 48 4.0 0 
2019-07-12 0 0 8672 24 4.0 0 
2019-07-15 0 0 8672 72 4.0 0 
2019-07-16 0 0 8672 96 3.93 0 
2019-07-17 0 0 8672 24 3.93 0 
2019-07-18 0 0 8672 96 3.93 0 
2019-07-19 0 0 8672 96 3.93 0 
2019-07-22 0 0 8672 48 3.93 0 
2019-07-23 1043 1043 7629 96 3.93 0 
2019-07-24 1118 75 6511 48 3.93 0 
2019-07-25 1077 -41 5434 96 3.93 1691 
2019-07-26 0 -1077 7125 72 3.93 0 
2019-07-29 2858 2858 4267 72 3.93 4623 
2019-07-30 0 -2858 8890 72 4.01 0 
2019-07-31 0 0 8890 72 4.01 0 
2019-08-01 0 0 8890 72 4.01 0 
2019-08-02 5226 5226 3664 96 4.01 8439 
2019-08-05 693 -4533 11410 72 4.01 0 
2019-08-06 1234 541 10176 24 4.01 0 
2019-08-07 4350 3116 5826 24 4.01 6097 
2019-08-08 1520 -2830 10403 72 4.01 0 
2019-08-09 0 -1520 10403 96 4.01 0 
2019-08-12 0 0 10403 24 4.01 0 
2019-08-13 2274 2274 10403 96 4.19 0 
2019-08-14 4225 1951 6178 72 4.19 6541 
2019-08-15 653 -3572 12066 72 4.19 0 
2019-08-16 0 -653 12066 72 4.19 0 
2019-08-19 0 0 12066 24 4.19 0 
2019-08-20 2271 2271 9795 72 4.19 2179 
2019-08-21 0 -2271 11974 96 4.19 0 
2019-08-22 0 0 11974 96 4.19 0 
2019-08-23 1062 1062 10912 48 4.19 0 
2019-08-26 811 -251 10101 72 4.19 0 
2019-08-27 0 -811 10101 24 4.29 0 
2019-08-28 2630 2630 7471 24 4.29 3924 
2019-08-29 0 -2630 11395 72 4.29 0 
2019-08-30 2381 2381 9014 96 4.29 2524 
2019-09-02 0 -2381 11538 48 4.29 0 
2019-09-03 986 986 10552 24 4.29 0 
2019-09-04 0 -986 10552 24 4.29 0 
2019-09-05 0 0 10552 72 4.29 0 
2019-09-06 0 0 10552 24 4.29 0 
2019-09-09 0 0 10552 24 4.29 0 
2019-09-10 4902 4902 5650 96 4.2 6211 
2019-09-11 703 -4199 11158 72 4.2 0 
2019-09-12 1320 617 9838 96 4.2 0 
2019-09-13 1203 -117 8635 72 4.2 2550 
2019-09-16 626 -577 10559 72 4.2 0 
2019-09-17 0 -626 10559 72 4.2 0 
2019-09-18 1785 1785 8774 24 4.2 2026 
