date demand demandChange inventoryPosition leadTime orderQuantity
2021-01-01 0 0 10000 0 0 
2021-01-02 0 0 10000 96 0 
2021-01-03 0 0 10000 24 0 
2021-01-04 0 0 10000 96 0 
2021-01-05 0 0 10000 48 0 
2021-01-06 0 0 10000 24 0 
2021-01-07 0 0 10000 72 0 
2021-01-08 0 0 10000 48 0 
2021-01-09 0 0 10000 24 0 
2021-01-10 0 0 10000 0 0 
2021-01-11 2580 2580 7420 96 0 
2021-01-12 5649 3069 1771 24 2745 
2021-01-13 0 -5649 4516 24 0 
2021-01-14 0 0 4516 24 0 
2021-01-15 5525 5525 2043 0 3406 
2021-01-16 0 -5525 5449 24 0 
2021-01-17 2276 2276 3173 0 2233 
2021-01-18 0 -2276 3173 72 2054 
2021-01-19 8510 8510 2544 0 4524 
2021-01-20 0 -8510 2544 0 4135 
2021-01-21 0 0 2544 24 3776 
2021-01-22 2595 2595 2544 48 4046 
2021-01-23 5614 3019 6590 24 0 
2021-01-24 8038 2424 957 24 7492 
2021-01-25 0 -8038 8449 24 0 
2021-01-26 0 0 8449 120 0 
2021-01-27 0 0 8449 48 0 
2021-01-28 7340 7340 1109 24 7867 
2021-01-29 0 -7340 8976 48 0 
2021-01-30 0 0 8976 120 0 
2021-01-31 2997 2997 5979 24 3058 
2021-02-01 2289 -708 6748 24 0 
2021-02-02 0 -2289 6748 24 0 
2021-02-03 2346 2346 4402 24 4345 
2021-02-04 2956 610 5791 24 3054 
2021-02-05 2493 -463 3298 24 5576 
2021-02-06 0 -2493 3298 96 5582 
2021-02-07 2518 2518 780 24 8136 
2021-02-08 2951 433 5965 24 3031 
2021-02-09 2433 -518 6563 24 2450 
2021-02-10 2851 418 6162 96 3178 
2021-02-11 2881 30 6459 48 2973 
2021-02-12 0 -2881 9432 24 0 
2021-02-13 2349 2349 7083 96 0 
2021-02-14 0 -2349 7083 24 0 
2021-02-15 5326 5326 1757 0 7737 
2021-02-16 2744 -2582 6750 0 2789 
2021-02-17 0 -2744 9539 96 0 
2021-02-18 2878 2878 6661 24 2919 
2021-02-19 2406 -472 7174 48 0 
2021-02-20 0 -2406 7174 48 0 
2021-02-21 2746 2746 4428 24 5023 
2021-02-22 0 -2746 9451 24 0 
2021-02-23 4970 4970 4481 0 4994 
2021-02-24 0 -4970 9475 48 0 
2021-02-25 0 0 9475 72 0 
2021-02-26 5077 5077 4398 24 5023 
2021-02-27 0 -5077 9421 24 0 
2021-02-28 0 0 9421 72 0 
2021-03-01 5075 5075 4346 96 5184 
2021-03-02 0 -5075 9530 0 0 
2021-03-03 2293 2293 7237 48 0 
2021-03-04 2786 493 7237 24 0 
2021-03-05 2815 29 4422 24 5013 
2021-03-06 4909 2094 4526 0 5090 
2021-03-07 0 -4909 4526 48 4946 
2021-03-08 0 0 4526 48 4806 
2021-03-09 5387 5387 2069 48 7481 
2021-03-10 0 -5387 2069 24 7321 
2021-03-11 2783 2783 2069 72 7421 
2021-03-12 5399 2616 9490 96 0 
2021-03-13 7941 2542 9490 0 0 
2021-03-14 8335 394 1155 0 9392 
2021-03-15 0 -8335 1155 0 9236 
2021-03-16 0 0 10391 24 0 
2021-03-17 2765 2765 7626 24 2606 
2021-03-18 0 -2765 10232 48 0 
2021-03-19 5188 5188 5044 48 5221 
2021-03-20 0 -5188 10265 48 0 
2021-03-21 0 0 10265 0 0 
2021-03-22 4869 4869 5396 48 4745 
2021-03-23 0 -4869 10141 48 0 
2021-03-24 2599 2599 7542 72 0 
2021-03-25 0 -2599 7542 48 0 
2021-03-26 0 0 7542 48 0 
2021-03-27 2417 2417 5125 24 4720 
2021-03-28 5479 3062 4366 48 5642 
2021-03-29 0 -5479 4366 168 6044 
2021-03-30 2827 2827 7583 24 2835 
2021-03-31 5068 2241 8179 24 0 
2021-04-01 0 -5068 8179 48 0 
2021-04-02 2810 2810 8179 0 0 
2021-04-03 2801 -9 8179 48 0 
2021-04-04 7753 4952 8179 0 0 
2021-04-05 8538 785 2531 0 8459 
2021-04-06 0 -8538 10990 24 0 
2021-04-07 0 0 10990 24 0 
2021-04-08 4912 4912 6078 72 4805 
2021-04-09 0 -4912 10883 120 0 
2021-04-10 0 0 10883 0 0 
2021-04-11 4885 4885 5998 72 5013 
2021-04-12 2648 -2237 8363 120 2854 
2021-04-13 0 -2648 8363 0 2731 
2021-04-14 5202 5202 5892 24 5308 
2021-04-15 2741 -2461 8459 24 2735 
2021-04-16 0 -2741 11194 48 0 
2021-04-17 0 0 11194 24 0 
2021-04-18 2353 2353 8841 120 0 
2021-04-19 2298 -55 6543 48 4593 
2021-04-20 4636 2338 6500 24 4712 
2021-04-21 0 -4636 11212 0 0 
2021-04-22 0 0 11212 0 0 
2021-04-23 2929 2929 8283 96 2820 
2021-04-24 2610 -319 8493 24 0 
2021-04-25 2564 -46 5929 24 5154 
2021-04-26 0 -2564 5929 24 5041 
2021-04-27 5315 5315 5655 144 5692 
2021-04-28 0 -5315 11347 24 0 
2021-04-29 2608 2608 8739 24 0 
2021-04-30 2676 68 6063 72 5203 
2021-05-01 2470 -206 6063 48 5203 
2021-05-02 4691 2221 11266 24 0 
2021-05-03 4687 -4 6579 48 4841 
2021-05-04 2728 -1959 8692 48 2736 
2021-05-05 0 -2728 11428 24 0 
2021-05-06 2565 2565 8863 24 0 
2021-05-07 2629 64 6234 48 5079 
2021-05-08 2387 -242 3847 120 7615 
2021-05-09 0 -2387 11462 24 0 
2021-05-10 2449 2449 9013 24 0 
2021-05-11 0 -2449 9013 0 0 
2021-05-12 5128 5128 9013 24 0 
2021-05-13 5536 408 3477 0 7946 
2021-05-14 0 -5536 11423 24 0 
2021-05-15 2923 2923 8500 48 2836 
2021-05-16 2235 -688 9101 0 0 
2021-05-17 2336 101 6765 72 4579 
2021-05-18 2660 324 8684 24 0 
2021-05-19 2217 -443 6467 48 4858 
2021-05-20 2600 383 8725 24 0 
2021-05-21 2267 -333 6458 264 5708 
2021-05-22 0 -2267 12166 0 0 
2021-05-23 5425 5425 6741 24 5411 
2021-05-24 0 -5425 12152 96 0 
2021-05-25 2574 2574 9578 48 0 
2021-05-26 0 -2574 9578 72 0 
2021-05-27 4931 4931 7002 72 5172 
2021-05-28 0 -4931 12174 24 0 
2021-05-29 2496 2496 12174 72 0 
2021-05-30 2500 4 9674 72 0 
2021-05-31 4961 2461 7144 0 5047 
2021-06-01 0 -4961 12191 24 0 
2021-06-02 0 0 12191 24 0 
2021-06-03 5075 5075 7116 24 4953 
2021-06-04 0 -5075 12069 48 0 
2021-06-05 0 0 12069 0 0 
2021-06-06 2617 2617 9452 0 0 
2021-06-07 5199 2582 4253 0 7713 
2021-06-08 0 -5199 11966 24 0 
2021-06-09 0 0 11966 24 0 
2021-06-10 7576 7576 4390 0 7541 
2021-06-11 0 -7576 4390 24 7453 
2021-06-12 0 0 11843 0 0 
2021-06-13 2546 2546 9297 48 0 
2021-06-14 2862 316 6435 0 5324 
2021-06-15 0 -2862 11759 0 0 
2021-06-16 2537 2537 9222 24 0 
2021-06-17 0 -2537 9222 24 0 
2021-06-18 5067 5067 4155 24 7490 
2021-06-19 0 -5067 11645 48 0 
2021-06-20 5066 5066 6579 24 5057 
2021-06-21 2223 -2843 4356 24 7261 
2021-06-22 0 -2223 11617 24 0 
2021-06-23 2348 2348 9269 24 0 
2021-06-24 2602 254 6667 48 4857 
2021-06-25 2510 -92 9014 24 0 
2021-06-26 2811 301 6203 0 5311 
2021-06-27 0 -2811 11514 0 0 
2021-06-28 5259 5259 6255 216 5680 
2021-06-29 0 -5259 6255 48 5611 
2021-06-30 0 0 6255 48 5541 
2021-07-01 2666 2666 9130 48 2670 
2021-07-02 5405 2739 6395 72 5504 
2021-07-03 0 -5405 11899 120 0 
2021-07-04 2474 2474 9425 0 0 
2021-07-05 2525 51 6900 24 5012 
2021-07-06 2737 212 9175 72 2763 
2021-07-07 0 -2737 11938 24 0 
2021-07-08 2435 2435 9503 24 0 
2021-07-09 5071 2636 4432 0 7475 
2021-07-10 0 -5071 11907 0 0 
2021-07-11 2361 2361 9546 24 0 
2021-07-12 5031 2670 4515 24 7360 
2021-07-13 0 -5031 11875 72 0 
2021-07-14 0 0 11875 48 0 
2021-07-15 2437 2437 9438 24 0 
2021-07-16 0 -2437 9438 24 0 
2021-07-17 4920 4920 4518 72 7246 
2021-07-18 0 -4920 11764 48 0 
2021-07-19 2486 2486 9278 24 0 
2021-07-20 0 -2486 9278 0 0 
2021-07-21 0 0 9278 72 0 
2021-07-22 5499 5499 3779 0 7870 
2021-07-23 2377 -3122 9272 96 0 
2021-07-24 0 -2377 9272 48 0 
2021-07-25 2370 2370 6902 24 4722 
2021-07-26 2494 124 9130 0 0 
2021-07-27 2591 97 6539 48 5080 
2021-07-28 0 -2591 11619 72 0 
2021-07-29 0 0 11619 0 0 
2021-07-30 2688 2688 8931 24 0 
2021-07-31 5368 2680 3563 192 8282 
2021-08-01 0 -5368 11845 0 0 
2021-08-02 0 0 11845 24 0 
2021-08-03 2451 2451 9394 24 0 
2021-08-04 2888 437 9394 24 0 
2021-08-05 5219 2331 9394 48 0 
2021-08-06 5655 436 9394 24 0 
2021-08-07 8265 2610 9394 72 0 
2021-08-08 8504 239 890 48 11219 
2021-08-09 0 -8504 12109 0 0 
2021-08-10 0 0 12109 24 0 
2021-08-11 5234 5234 6875 72 5180 
2021-08-12 2835 -2399 9220 48 2841 
2021-08-13 2275 -560 9786 48 0 
2021-08-14 0 -2275 9786 0 0 
2021-08-15 2543 2543 7243 96 4794 
2021-08-16 2746 203 9291 72 2767 
2021-08-17 2590 -156 9468 24 0 
2021-08-18 0 -2590 9468 48 0 
2021-08-19 2719 2719 6749 0 5243 
2021-08-20 5512 2793 6480 144 5701 
2021-08-21 0 -5512 12181 48 0 
2021-08-22 0 0 12181 24 0 
2021-08-23 5134 5134 7047 72 5087 
2021-08-24 2350 -2784 12134 24 0 
