date demand demandChange inventoryPosition orderQuantity
2021-01-01 815 0 9185 0 
2021-01-02 1173 358 8012 0 
2021-01-03 756 -417 7256 0 
2021-01-04 889 133 6367 0 
2021-01-05 436 -453 5931 0 
2021-01-06 0 -436 5931 0 
2021-01-07 418 418 5513 0 
2021-01-08 362 -56 5151 0 
2021-01-09 790 428 4361 0 
2021-01-10 0 -790 4361 0 
2021-01-11 470 470 3891 0 
2021-01-12 866 396 3025 0 
2021-01-13 821 -45 2204 0 
2021-01-14 435 -386 1769 0 
2021-01-15 769 334 1000 0 
2021-01-16 839 70 161 2511 
2021-01-17 698 -141 1974 0 
2021-01-18 714 16 1260 0 
2021-01-19 385 -329 875 0 
2021-01-20 317 -68 558 2068 
2021-01-21 0 -317 2626 0 
2021-01-22 360 360 2266 0 
2021-01-23 447 87 1819 0 
2021-01-24 346 -101 1473 0 
2021-01-25 921 575 552 1975 
2021-01-26 765 -156 1762 0 
2021-01-27 0 -765 1762 0 
2021-01-28 1223 1223 539 2016 
2021-01-29 861 -362 150 2433 
2021-01-30 696 -165 150 2443 
2021-01-31 402 -294 150 2427 
2021-02-01 919 517 150 2456 
2021-02-02 441 -478 150 2443 
2021-02-03 825 384 150 2462 
2021-02-04 817 -8 150 2480 
2021-02-05 875 58 150 2500 
2021-02-06 753 -122 150 2511 
2021-02-07 848 95 150 2528 
2021-02-08 1301 453 150 2574 
2021-02-09 1234 -67 150 2614 
2021-02-10 468 -766 2296 0 
2021-02-11 861 393 1435 0 
2021-02-12 1280 419 155 2650 
2021-02-13 752 -528 2053 0 
2021-02-14 875 123 1178 0 
2021-02-15 801 -74 377 2452 
2021-02-16 771 -30 2058 0 
2021-02-17 1228 457 830 0 
2021-02-18 1355 127 369 2530 
2021-02-19 1272 -83 1627 0 
2021-02-20 379 -893 1248 0 
2021-02-21 848 469 400 2519 
2021-02-22 869 21 2050 0 
2021-02-23 810 -59 1240 0 
2021-02-24 429 -381 811 0 
2021-02-25 835 406 409 2515 
2021-02-26 389 -446 2535 0 
2021-02-27 803 414 1732 0 
2021-02-28 783 -20 949 0 
2021-03-01 1222 439 110 2828 
2021-03-02 1116 -106 1822 0 
2021-03-03 367 -749 1455 0 
2021-03-04 0 -367 1455 0 
2021-03-05 1145 1145 310 2619 
2021-03-06 864 -281 2065 0 
2021-03-07 782 -82 1283 0 
2021-03-08 857 75 426 2516 
2021-03-09 831 -26 2111 0 
2021-03-10 356 -475 1755 0 
2021-03-11 839 483 916 0 
2021-03-12 755 -84 161 2778 
2021-03-13 741 -14 2198 0 
2021-03-14 1125 384 1073 0 
2021-03-15 818 -307 255 2702 
2021-03-16 824 6 2133 0 
