date demand demandChange inventoryPosition orderQuantity
2021-01-01 235 0 9765 0 
2021-01-02 745 510 9020 0 
2021-01-03 508 -237 8512 0 
2021-01-04 569 61 7943 0 
2021-01-05 546 -23 7397 0 
2021-01-06 421 -125 6976 0 
2021-01-07 548 127 6428 0 
2021-01-08 809 261 5619 0 
2021-01-09 406 -403 5213 0 
2021-01-10 1193 787 4020 0 
2021-01-11 197 -996 3823 0 
2021-01-12 547 350 3276 0 
2021-01-13 706 159 2570 0 
2021-01-14 442 -264 2128 0 
2021-01-15 815 373 1313 0 
2021-01-16 151 -664 1162 0 
2021-01-17 887 736 275 2282 
2021-01-18 652 -235 1905 0 
2021-01-19 512 -140 1393 0 
2021-01-20 733 221 660 0 
2021-01-21 827 94 181 2431 
2021-01-22 425 -402 2187 0 
2021-01-23 901 476 1286 0 
2021-01-24 263 -638 1023 0 
2021-01-25 709 446 314 2290 
2021-01-26 678 -31 1 2613 
2021-01-27 551 -127 1 2608 
2021-01-28 445 -106 1 2594 
2021-01-29 530 85 1 2589 
2021-01-30 0 -530 1 2536 
2021-01-31 489 489 1 2529 
2021-02-01 999 510 1 2567 
2021-02-02 1003 4 1 2602 
2021-02-03 638 -365 1 2606 
2021-02-04 610 -28 1 2607 
2021-02-05 268 -342 1 2583 
2021-02-06 506 238 1 2578 
2021-02-07 0 -506 1 2535 
2021-02-08 667 667 1 2543 
2021-02-09 1277 610 1 2591 
2021-02-10 454 -823 1 2582 
2021-02-11 639 185 1944 0 
2021-02-12 690 51 1254 0 
2021-02-13 1127 437 127 2500 
2021-02-14 839 -288 1788 0 
2021-02-15 866 27 922 0 
2021-02-16 676 -190 246 2414 
2021-02-17 501 -175 2159 0 
2021-02-18 527 26 1632 0 
2021-02-19 731 204 901 0 
2021-02-20 1168 437 160 2526 
2021-02-21 206 -962 2480 0 
2021-02-22 1490 1284 990 0 
2021-02-23 349 -1141 641 0 
2021-02-24 884 535 72 2636 
2021-02-25 384 -500 2324 0 
2021-02-26 734 350 1590 0 
2021-02-27 591 -143 999 0 
2021-02-28 1245 654 264 2463 
2021-03-01 1112 -133 1615 0 
2021-03-02 1564 452 51 2737 
2021-03-03 931 -633 1857 0 
2021-03-04 748 -183 1109 0 
2021-03-05 579 -169 530 2270 
2021-03-06 961 382 1839 0 
2021-03-07 328 -633 1511 0 
2021-03-08 963 635 548 2262 
2021-03-09 1238 275 1572 0 
2021-03-10 205 -1033 1367 0 
2021-03-11 528 323 839 0 
2021-03-12 539 11 300 2503 
2021-03-13 365 -174 2438 0 
2021-03-14 361 -4 2077 0 
2021-03-15 752 391 1325 0 
2021-03-16 903 151 422 2372 
2021-03-17 70 -833 2724 0 
2021-03-18 845 775 1879 0 
2021-03-19 518 -327 1361 0 
2021-03-20 584 66 777 0 
2021-03-21 962 378 297 2487 
2021-03-22 1006 44 1778 0 
2021-03-23 0 -1006 1778 0 
2021-03-24 744 744 1034 0 
2021-03-25 892 148 142 2642 
2021-03-26 580 -312 2204 0 
2021-03-27 0 -580 2204 0 
2021-03-28 910 910 1294 0 
2021-03-29 367 -543 927 0 
2021-03-30 1339 972 39 2743 
2021-03-31 340 -999 2442 0 
2021-04-01 1482 1142 960 0 
2021-04-02 407 -1075 553 2236 
2021-04-03 607 200 2182 0 
2021-04-04 726 119 1456 0 
2021-04-05 296 -430 1160 0 
2021-04-06 1649 1353 38 2768 
2021-04-07 392 -1257 2414 0 
2021-04-08 809 417 1605 0 
2021-04-09 430 -379 1175 0 
2021-04-10 602 172 573 2222 
2021-04-11 107 -495 2688 0 
2021-04-12 896 789 1792 0 
2021-04-13 589 -307 1203 0 
2021-04-14 0 -589 1203 0 
2021-04-15 186 186 1017 0 
2021-04-16 759 573 258 2501 
2021-04-17 866 107 1893 0 
2021-04-18 932 66 961 0 
2021-04-19 838 -94 123 2653 
2021-04-20 749 -89 2027 0 
2021-04-21 728 -21 1299 0 
2021-04-22 628 -100 671 0 
2021-04-23 480 -148 191 2584 
2021-04-24 990 510 1785 0 
2021-04-25 1247 257 538 2259 
2021-04-26 1206 -41 1591 0 
2021-04-27 988 -218 603 2213 
2021-04-28 1065 77 1751 0 
2021-04-29 561 -504 1190 0 
2021-04-30 1251 690 505 2329 
2021-05-01 424 -827 2410 0 
2021-05-02 236 -188 2174 0 
2021-05-03 883 647 1291 0 
2021-05-04 1135 252 156 2678 
2021-05-05 0 -1135 2834 0 
2021-05-06 360 360 2474 0 
2021-05-07 394 34 2080 0 
2021-05-08 843 449 1237 0 
2021-05-09 538 -305 699 0 
2021-05-10 1241 703 22 2799 
2021-05-11 384 -857 2437 0 
2021-05-12 815 431 1622 0 
2021-05-13 0 -815 1622 0 
2021-05-14 625 625 997 0 
2021-05-15 1052 427 696 0 
2021-05-16 1161 109 109 2712 
2021-05-17 267 -894 2554 0 
2021-05-18 298 31 2256 0 
2021-05-19 776 478 1480 0 
2021-05-20 629 -147 851 0 
2021-05-21 210 -419 641 2157 
2021-05-22 0 -210 2798 0 
2021-05-23 401 401 2397 0 
2021-05-24 548 147 1849 0 
2021-05-25 831 283 1018 0 
2021-05-26 295 -536 723 0 
2021-05-27 1179 884 233 2553 
2021-05-28 335 -844 2451 0 
2021-05-29 1072 737 1379 0 
2021-05-30 619 -453 760 0 
2021-05-31 1514 895 359 2443 
2021-06-01 880 -634 1922 0 
2021-06-02 266 -614 1656 0 
2021-06-03 794 528 862 0 
2021-06-04 572 -222 290 2510 
2021-06-05 655 83 2145 0 
2021-06-06 611 -44 1534 0 
2021-06-07 694 83 840 0 
2021-06-08 796 102 44 2757 
2021-06-09 461 -335 2340 0 
2021-06-10 395 -66 1945 0 
2021-06-11 503 108 1442 0 
2021-06-12 756 253 686 0 
2021-06-13 947 191 94 2703 
2021-06-14 1231 284 1566 0 
2021-06-15 1186 -45 380 2434 
2021-06-16 561 -625 2253 0 
2021-06-17 1018 457 1235 0 
2021-06-18 394 -624 841 0 
2021-06-19 760 366 81 2734 
2021-06-20 880 120 1935 0 
2021-06-21 651 -229 1284 0 
2021-06-22 390 -261 894 0 
2021-06-23 748 358 146 2669 
2021-06-24 1762 1014 1053 0 
2021-06-25 1570 -192 20 2824 
2021-06-26 965 -605 1879 0 
2021-06-27 176 -789 1631 0 
2021-06-28 510 334 1121 0 
2021-06-29 1221 711 412 2435 
2021-06-30 739 -482 2108 0 
2021-07-01 812 73 1296 0 
2021-07-02 864 52 432 2420 
2021-07-03 921 57 1931 0 
2021-07-04 325 -596 1606 0 
2021-07-05 1248 923 358 2500 
2021-07-06 585 -663 2273 0 
2021-07-07 311 -274 1962 0 
2021-07-08 0 -311 1962 0 
2021-07-09 421 421 1541 0 
2021-07-10 382 -39 1159 0 
2021-07-11 1186 804 788 0 
2021-07-12 410 -776 378 2459 
2021-07-13 116 -294 2721 0 
2021-07-14 747 631 1974 0 
2021-07-15 909 162 1065 0 
2021-07-16 638 -271 427 2407 
2021-07-17 484 -154 2350 0 
2021-07-18 1085 601 1265 0 
2021-07-19 1155 70 110 2732 
2021-07-20 1585 430 1257 0 
2021-07-21 1047 -538 210 2649 
2021-07-22 836 -211 2023 0 
2021-07-23 157 -679 1866 0 
2021-07-24 1093 936 773 0 
2021-07-25 880 -213 218 2644 
2021-07-26 503 -377 2359 0 
2021-07-27 754 251 1605 0 
2021-07-28 888 134 717 0 
2021-07-29 970 82 77 2789 
2021-07-30 619 -351 2247 0 
2021-07-31 438 -181 1809 0 
2021-08-01 0 -438 1809 0 
2021-08-02 1019 1019 790 0 
2021-08-03 482 -537 308 2547 
2021-08-04 761 279 2094 0 
2021-08-05 796 35 1298 0 
2021-08-06 1305 509 462 2403 
2021-08-07 524 -781 2341 0 
2021-08-08 0 -524 2341 0 
2021-08-09 366 366 1975 0 
2021-08-10 688 322 1287 0 
2021-08-11 903 215 384 2470 
2021-08-12 623 -280 2231 0 
2021-08-13 1251 628 980 0 
2021-08-14 472 -779 508 2349 
2021-08-15 150 -322 2707 0 
2021-08-16 1092 942 1615 0 
2021-08-17 375 -717 1240 0 
2021-08-18 448 73 792 0 
2021-08-19 819 371 376 2476 
2021-08-20 765 -54 2087 0 
2021-08-21 1052 287 1035 0 
2021-08-22 144 -908 891 0 
2021-08-23 0 -144 891 0 
2021-08-24 543 543 348 2494 
2021-08-25 631 88 2211 0 
2021-08-26 854 223 1357 0 
2021-08-27 480 -374 877 0 
2021-08-28 434 -46 443 2394 
2021-08-29 652 218 2185 0 
2021-08-30 725 73 1460 0 
2021-08-31 1236 511 224 2620 
2021-09-01 831 -405 2013 0 
2021-09-02 1258 427 755 0 
2021-09-03 643 -615 112 2740 
2021-09-04 348 -295 2504 0 
2021-09-05 480 132 2024 0 
2021-09-06 738 258 1286 0 
2021-09-07 539 -199 747 0 
2021-09-08 0 -539 747 0 
2021-09-09 522 522 225 2611 
2021-09-10 366 -156 2470 0 
2021-09-11 439 73 2031 0 
2021-09-12 692 253 1339 0 
2021-09-13 669 -23 670 2161 
2021-09-14 261 -408 2570 0 
2021-09-15 850 589 1720 0 
2021-09-16 206 -644 1514 0 
2021-09-17 613 407 901 0 
2021-09-18 746 133 155 2669 
2021-09-19 1227 481 1597 0 
2021-09-20 1221 -6 376 2458 
2021-09-21 242 -979 2592 0 
2021-09-22 830 588 1762 0 
2021-09-23 247 -583 1515 0 
2021-09-24 485 238 1030 0 
2021-09-25 567 82 463 2361 
2021-09-26 650 83 2174 0 
2021-09-27 930 280 1244 0 
2021-09-28 379 -551 865 0 
2021-09-29 774 395 91 2735 
2021-09-30 662 -112 2164 0 
2021-10-01 954 292 1210 0 
2021-10-02 558 -396 652 2175 
2021-10-03 642 84 2185 0 
2021-10-04 755 113 1430 0 
2021-10-05 427 -328 1003 0 
2021-10-06 972 545 31 2797 
2021-10-07 975 3 1853 0 
2021-10-08 1170 195 683 0 
2021-10-09 312 -858 371 2461 
2021-10-10 1814 1502 1018 0 
2021-10-11 447 -1367 571 2269 
2021-10-12 0 -447 2840 0 
2021-10-13 283 283 2557 0 
2021-10-14 661 378 1896 0 
2021-10-15 1126 465 770 0 
2021-10-16 0 -1126 770 0 
2021-10-17 303 303 467 2357 
2021-10-18 0 -303 2824 0 
2021-10-19 1020 1020 1804 0 
2021-10-20 1033 13 771 0 
2021-10-21 321 -712 450 2372 
2021-10-22 352 31 2470 0 
2021-10-23 285 -67 2185 0 
2021-10-24 599 314 1586 0 
2021-10-25 254 -345 1332 0 
2021-10-26 393 139 939 0 
2021-10-27 225 -168 714 0 
2021-10-28 714 489 0 2806 
2021-10-29 454 -260 2352 0 
2021-10-30 411 -43 1941 0 
2021-10-31 479 68 1462 0 
2021-11-01 812 333 650 2151 
2021-11-02 1311 499 1490 0 
2021-11-03 407 -904 1083 0 
2021-11-04 741 334 342 2463 
2021-11-05 793 52 2012 0 
2021-11-06 465 -328 1547 0 
2021-11-07 864 399 683 0 
2021-11-08 1279 415 256 2555 
2021-11-09 708 -571 2103 0 
2021-11-10 1469 761 634 2184 
2021-11-11 625 -844 2193 0 
2021-11-12 554 -71 1639 0 
2021-11-13 755 201 884 0 
2021-11-14 1011 256 551 2270 
2021-11-15 770 -241 2051 0 
2021-11-16 509 -261 1542 0 
2021-11-17 538 29 1004 0 
2021-11-18 698 160 306 2513 
2021-11-19 1525 827 1294 0 
2021-11-20 732 -793 562 2264 
2021-11-21 467 -265 2359 0 
2021-11-22 985 518 1374 0 
2021-11-23 1072 87 302 2529 
2021-11-24 425 -647 2406 0 
2021-11-25 310 -115 2096 0 
2021-11-26 735 425 1361 0 
2021-11-27 424 -311 937 0 
2021-11-28 891 467 46 2780 
2021-11-29 0 -891 2826 0 
2021-11-30 652 652 2174 0 
2021-12-01 712 60 1462 0 
2021-12-02 765 53 697 0 
2021-12-03 475 -290 222 2598 
2021-12-04 796 321 2024 0 
2021-12-05 578 -218 1446 0 
2021-12-06 497 -81 949 0 
2021-12-07 965 468 75 2746 
2021-12-08 1365 400 1456 0 
2021-12-09 390 -975 1066 0 
2021-12-10 999 609 67 2760 
2021-12-11 639 -360 2188 0 
2021-12-12 217 -422 1971 0 
2021-12-13 966 749 1005 0 
2021-12-14 1114 148 119 2710 
2021-12-15 0 -1114 2829 0 
2021-12-16 782 782 2047 0 
2021-12-17 553 -229 1494 0 
2021-12-18 1012 459 482 2344 
2021-12-19 1095 83 1731 0 
2021-12-20 1040 -55 691 0 
2021-12-21 0 -1040 691 0 
