date demand demandChange inventoryPosition orderQuantity
2021-01-01 1200 0 8800 0 
2021-01-02 422 -778 8378 0 
2021-01-03 1250 828 7128 0 
2021-01-04 797 -453 6331 0 
2021-01-05 807 10 5524 0 
2021-01-06 765 -42 4759 0 
2021-01-07 1097 332 3662 0 
2021-01-08 1203 106 2459 0 
2021-01-09 754 -449 1705 0 
2021-01-10 723 -31 982 0 
2021-01-11 1149 426 170 3276 
2021-01-12 438 -711 3008 0 
2021-01-13 1153 715 1855 0 
2021-01-14 1149 -4 706 2734 
2021-01-15 0 -1149 3440 0 
2021-01-16 350 350 3090 0 
2021-01-17 439 89 2651 0 
2021-01-18 784 345 1867 0 
2021-01-19 1152 368 715 2487 
2021-01-20 790 -362 302 2896 
2021-01-21 417 -373 302 2848 
2021-01-22 804 387 302 2849 
2021-01-23 847 43 2304 0 
2021-01-24 446 -401 1858 0 
2021-01-25 791 345 1067 0 
2021-01-26 849 58 218 2907 
2021-01-27 515 -334 218 2882 
2021-01-28 338 -177 218 2842 
2021-01-29 438 100 218 2814 
2021-01-30 793 355 218 2817 
2021-01-31 750 -43 218 2817 
2021-02-01 445 -305 218 2792 
2021-02-02 402 -43 218 2767 
2021-02-03 353 -49 218 2737 
2021-02-04 728 375 218 2737 
2021-02-05 453 -275 2502 0 
2021-02-06 397 -56 2105 0 
2021-02-07 439 42 1666 0 
2021-02-08 1258 819 408 2525 
2021-02-09 1146 -112 1787 0 
2021-02-10 321 -825 1466 0 
2021-02-11 792 471 674 2266 
2021-02-12 878 86 2062 0 
2021-02-13 488 -390 1574 0 
2021-02-14 895 407 679 2268 
2021-02-15 436 -459 2511 0 
2021-02-16 778 342 1733 0 
2021-02-17 381 -397 1352 0 
2021-02-18 1163 782 189 2751 
2021-02-19 378 -785 2562 0 
2021-02-20 1181 803 1381 0 
2021-02-21 373 -808 1008 0 
2021-02-22 410 37 598 2316 
2021-02-23 767 357 2147 0 
2021-02-24 1213 446 934 0 
2021-02-25 792 -421 142 2802 
2021-02-26 0 -792 2944 0 
2021-02-27 417 417 2527 0 
2021-02-28 862 445 1665 0 
2021-03-01 372 -490 1293 0 
2021-03-02 347 -25 946 0 
2021-03-03 852 505 94 2789 
2021-03-04 829 -23 2054 0 
2021-03-05 391 -438 1663 0 
2021-03-06 402 11 1261 0 
2021-03-07 1133 731 128 2755 
2021-03-08 0 -1133 2883 0 
2021-03-09 827 827 2056 0 
2021-03-10 1184 357 872 0 
2021-03-11 421 -763 451 2419 
2021-03-12 1229 808 1641 0 
2021-03-13 794 -435 847 0 
2021-03-14 776 -18 71 2825 
2021-03-15 451 -325 2445 0 
2021-03-16 1307 856 1138 0 
2021-03-17 314 -993 824 0 
2021-03-18 1136 822 88 2821 
2021-03-19 808 -328 2101 0 
2021-03-20 0 -808 2101 0 
2021-03-21 1184 1184 917 0 
2021-03-22 1149 -35 136 2783 
2021-03-23 1136 -13 1783 0 
2021-03-24 770 -366 1013 0 
2021-03-25 864 94 149 2790 
2021-03-26 752 -112 2187 0 
2021-03-27 1252 500 935 0 
2021-03-28 1189 -63 188 2781 
2021-03-29 1195 6 1774 0 
2021-03-30 717 -478 1057 0 
2021-03-31 806 89 251 2732 
2021-04-01 834 28 2149 0 
2021-04-02 1201 367 948 0 
2021-04-03 790 -411 158 2842 
2021-04-04 875 85 2125 0 
2021-04-05 796 -79 1329 0 
2021-04-06 866 70 463 2545 
2021-04-07 417 -449 2591 0 
2021-04-08 821 404 1770 0 
2021-04-09 0 -821 1770 0 
2021-04-10 397 397 1373 0 
2021-04-11 0 -397 1373 0 
2021-04-12 747 747 626 2331 
2021-04-13 1186 439 1771 0 
2021-04-14 398 -788 1373 0 
2021-04-15 765 367 608 2354 
2021-04-16 442 -323 2520 0 
2021-04-17 823 381 1697 0 
2021-04-18 1246 423 451 2518 
2021-04-19 832 -414 2137 0 
2021-04-20 394 -438 1743 0 
2021-04-21 1187 793 556 2419 
2021-04-22 1194 7 1781 0 
2021-04-23 379 -815 1402 0 
2021-04-24 1124 745 278 2707 
2021-04-25 413 -711 2572 0 
2021-04-26 411 -2 2161 0 
2021-04-27 412 1 1749 0 
2021-04-28 839 427 910 0 
2021-04-29 1153 314 137 2839 
2021-04-30 364 -789 2612 0 
2021-05-01 413 49 2199 0 
2021-05-02 792 379 1407 0 
2021-05-03 0 -792 1407 0 
2021-05-04 798 798 609 2341 
2021-05-05 786 -12 2164 0 
2021-05-06 1130 344 1034 0 
2021-05-07 777 -353 257 2703 
2021-05-08 785 8 2175 0 
2021-05-09 1160 375 1015 0 
2021-05-10 833 -327 182 2790 
2021-05-11 922 89 2050 0 
2021-05-12 796 -126 1254 0 
2021-05-13 0 -796 1254 0 
2021-05-14 1216 1216 38 2934 
2021-05-15 389 -827 2583 0 
2021-05-16 424 35 2159 0 
2021-05-17 1114 690 1045 0 
2021-05-18 844 -270 201 2769 
2021-05-19 392 -452 2578 0 
2021-05-20 456 64 2122 0 
2021-05-21 759 303 1363 0 
2021-05-22 389 -370 974 0 
2021-05-23 417 28 557 2390 
2021-05-24 0 -417 2947 0 
2021-05-25 1150 1150 1797 0 
2021-05-26 323 -827 1474 0 
2021-05-27 347 24 1127 0 
2021-05-28 1265 918 241 2698 
2021-05-29 389 -876 2550 0 
2021-05-30 1185 796 1365 0 
2021-05-31 768 -417 597 2345 
2021-06-01 406 -362 2536 0 
2021-06-02 801 395 1735 0 
2021-06-03 773 -28 962 0 
2021-06-04 0 -773 962 0 
2021-06-05 802 802 160 2769 
2021-06-06 848 46 2081 0 
2021-06-07 434 -414 1647 0 
2021-06-08 854 420 793 0 
2021-06-09 1263 409 380 2557 
2021-06-10 770 -493 2167 0 
2021-06-11 1222 452 945 0 
2021-06-12 438 -784 507 2435 
2021-06-13 1266 828 1676 0 
2021-06-14 358 -908 1318 0 
2021-06-15 711 353 607 2337 
2021-06-16 800 89 2144 0 
2021-06-17 779 -21 1365 0 
2021-06-18 1225 446 140 2814 
2021-06-19 779 -446 2175 0 
2021-06-20 781 2 1394 0 
2021-06-21 896 115 498 2460 
2021-06-22 861 -35 2097 0 
2021-06-23 775 -86 1322 0 
