inventory	quantity
02,CC-F01	9000
02N,CC-F01	3000
02S,CC-F01	3000
02W,CC-F01	3000
02,CC-F02	9000
02N,CC-F02	3000
02S,CC-F02	3000
02W,CC-F02	3000
02,CC-F03	9000
02N,CC-F03	3000
02S,CC-F03	3000
02W,CC-F03	3000
02,CC-F04	9000
02N,CC-F04	3000
02S,CC-F04	3000
02W,CC-F04	3000
02,CC-F05	0
02N,CC-F05	0
02S,CC-F05	0
02W,CC-F05	0
02,CC-F06	0
02N,CC-F06	0
02S,CC-F06	0
02W,CC-F06	0
02,CC-F11	9000
02N,CC-F11	3000
02S,CC-F11	3000
02W,CC-F11	3000
02,CC-F12	9000
02N,CC-F12	3000
02S,CC-F12	3000
02W,CC-F12	3000
02,CC-F13	9000
02N,CC-F13	3000
02S,CC-F13	3000
02W,CC-F13	3000
02,CC-F14	9000
02N,CC-F14	3000
02S,CC-F14	3000
02W,CC-F14	3000
02,CC-F15	0
02N,CC-F15	0
02S,CC-F15	0
02W,CC-F15	0
02,CC-F16	0
02N,CC-F16	0
02S,CC-F16	0
02W,CC-F16	0
P,CC-P01	20000
P,CC-P02	20000
P,CC-P03	20000
P,CC-P04	20000
P,CC-R01	2500
P,CC-R02	2500
P,CC-R03	7500
P,CC-R04	5000
P,CC-R05	3000
P,CC-R06	5000
