inventory	quantity
02,CC-F01	10000
02N,CC-F01	10000
02S,CC-F01	10000
02W,CC-F01	10000
02,CC-F02	10000
02N,CC-F02	10000
02S,CC-F02	10000
02W,CC-F02	10000
02,CC-F03	10000
02N,CC-F03	10000
02S,CC-F03	10000
02W,CC-F03	10000
02,CC-F04	10000
02N,CC-F04	10000
02S,CC-F04	10000
02W,CC-F04	10000
02,CC-F05	10000
02N,CC-F05	10000
02S,CC-F05	10000
02W,CC-F05	10000
02,CC-F06	10000
02N,CC-F06	10000
02S,CC-F06	10000
02W,CC-F06	10000
02,CC-F11	10000
02N,CC-F11	10000
02S,CC-F11	10000
02W,CC-F11	10000
02,CC-F12	10000
02N,CC-F12	10000
02S,CC-F12	10000
02W,CC-F12	10000
02,CC-F13	10000
02N,CC-F13	10000
02S,CC-F13	10000
02W,CC-F13	10000
02,CC-F14	10000
02N,CC-F14	10000
02S,CC-F14	10000
02W,CC-F14	10000
02,CC-F15	10000
02N,CC-F15	10000
02S,CC-F15	10000
02W,CC-F15	10000
02,CC-F16	10000
02N,CC-F16	10000
02S,CC-F16	10000
02W,CC-F16	10000
P,CC-P01	10000
P,CC-P02	10000
P,CC-P03	10000
P,CC-P04	10000
P,CC-R01	2500
P,CC-R02	2500
P,CC-R03	2500
P,CC-R04	2500
P,CC-R05	3000
P,CC-R06	3500
