order_number	stage_type	from	to	material_code	quantity	start_date	end_date	lead_time	price		
1000012	WH	02	P	CC-F01	26000	2019-07-09	2019-07-10	24			
1000013	WH	02	P	CC-F01	19000	2019-07-04	2019-07-05	24			
1000014	WH	02	P	CC-F02	26000	2019-07-05	2019-07-08	24			
1000016	WH	02	P	CC-F02	19000	2019-07-04	2019-07-04	0			
1000019	WH	02	P	CC-F03	26000	2019-07-10	2019-07-11	24			
1000021	WH	02	P	CC-F03	19000	2019-07-17	2019-07-18	24			
1000023	WH	02	P	CC-F04	26000	2019-07-16	2019-07-17	24			
1000024	WH	02	P	CC-F04	19000	2019-07-15	2019-07-16	24			 
1000026	WH	02	P	CC-F05	26000	2019-07-11	2019-07-12	24			
1000028	WH	02	P	CC-F05	19000	2019-07-12	2019-07-15	24			
1000030	WH	02	P	CC-F06	26000	2019-07-18	2019-07-19	24			
1000031	WH	02	P	CC-F06	19000	2019-07-26	2019-07-29	24			
1000032	WH	02	P	CC-F11	26000	2019-07-25	2019-07-26	24			
1000033	WH	02	P	CC-F11	19000	2019-07-22	2019-07-23	24			
1000034	WH	02	P	CC-F12	26000	2019-07-23	2019-07-24	24			
1000035	WH	02	P	CC-F12	19000	2019-07-19	2019-07-22	24			
1000036	WH	02	P	CC-F13	26000	2019-07-29	2019-07-30	24			
1000037	WH	02	P	CC-F13	19000	2019-08-07	2019-08-07	0			
1000038	WH	02	P	CC-F14	26000	2019-08-05	2019-08-06	24			
1000039	WH	02	P	CC-F14	19000	2019-07-31	2019-08-01	24			
1000040	WH	02	P	CC-F15	26000	2019-08-01	2019-08-02	24			
1000041	WH	02	P	CC-F15	19000	2019-08-02	2019-08-05	24			
1000042	WH	02	P	CC-F16	26000	2019-07-30	2019-07-31	24			
1000043	WH	02	P	CC-F16	19000	2019-08-08	2019-08-08	0			
1000110	WH	02	P	CC-F01	19000	2019-08-09	2019-08-09	0			
1000111	WH	02	P	CC-F02	19000	2019-08-13	2019-08-13	0			
1000112	WH	02	P	CC-F03	19000	2019-08-12	2019-08-12	0			
1000153	WH	02	P	CC-F01	19000	2019-08-16	2019-08-19	24			
1000154	WH	02	P	CC-F02	19000	2019-08-14	2019-08-15	24			
1000155	WH	02	P	CC-F03	19000	2019-08-15	2019-08-16	24			
1000156	WH	02	P	CC-F04	19000	2019-08-14	2019-08-14	0			
1000157	WH	02	P	CC-F05	19000	2019-08-19	2019-08-20	24			
1000158	WH	02	P	CC-F06	19000	2019-08-22	2019-08-23	24			
1000159	WH	02	P	CC-F11	19000	2019-08-21	2019-08-22	24			
1000160	WH	02	P	CC-F12	19000	2019-08-20	2019-08-21	24			
1000172	WH	02	P	CC-F01	19000	2019-08-23	2019-08-26	24			
1000173	WH	02	P	CC-F02	19000	2019-08-27	2019-08-28	24			
1000174	WH	02	P	CC-F03	19000	2019-08-26	2019-08-27	24			
1000176	WH	02	P	CC-F04	19000	2019-08-28	2019-08-29	24			
1000179	WH	02	P	CC-F05	19000	2019-09-03	2019-09-04	24			
1000182	WH	02	P	CC-F06	19000	2019-08-30	2019-09-02	24			
1000185	WH	02	P	CC-F11	19000	2019-09-02	2019-09-03	24			
1000188	WH	02	P	CC-F12	19000	2019-08-29	2019-08-30	24			
1000191	WH	02	P	CC-F13	19000	2019-09-09	2019-09-10	24			
1000193	WH	02	P	CC-F14	19000	2019-09-06	2019-09-09	24			
1000194	WH	02	P	CC-F15	19000	2019-09-04	2019-09-05	24			
1000195	WH	02	P	CC-F16	19000	2019-09-05	2019-09-06	24			
1000255	WH	02	P	CC-F01	19000	2019-09-10	2019-09-11	24			
1000257	WH	02	P	CC-F02	19000	2019-09-11	2019-09-12	24			
1000259	WH	02	P	CC-F03	19000	2019-09-17	2019-09-18	24			
1000260	WH	02	P	CC-F04	21250	2019-09-13	2019-09-16	24			
1000261	WH	02	P	CC-F05	19000	2019-09-16	2019-09-17	24			
1000262	WH	02	P	CC-F06	19000	2019-09-12	2019-09-13	24			
1000263	WH	02	P	CC-F11	19000	2019-09-18	2019-09-19	24			
1000264	WH	02	P	CC-F12	19000	2019-09-24	2019-09-25	24			
1000265	WH	02	P	CC-F13	19000	2019-09-23	2019-09-24	24			
1000266	WH	02	P	CC-F14	19000	2019-09-19	2019-09-20	24			
1000267	WH	02	P	CC-F16	20750	2019-09-20	2019-09-23	24			
1000324	WH	02	P	CC-F01	19000	2019-09-25	2019-09-26	24			
1000325	WH	02	P	CC-F02	19000	2019-09-27	2019-09-27	0			
1000326	WH	02	P	CC-F03	19000	2019-09-26	2019-09-27	24			
1000327	WH	02	P	CC-F04	19000	2019-09-30	2019-09-30	0			
1000328	WH	02	P	CC-F05	19000	2019-10-01	2019-10-01	0			
1000329	WH	02	P	CC-F06	19000	2019-10-02	2019-10-02	0			
1000330	WH	02	P	CC-F11	19000	2019-10-03	2019-10-03	0			
1000331	WH	02	P	CC-F14	19000	2019-10-04	2019-10-07	24			
1000332	WH	02	P	CC-F15	19000	2019-10-03	2019-10-04	24			
1000333	WH	02	P	CC-F16	19000	2019-10-07	2019-10-08	24			
1000381	WH	02	P	CC-F01	26000	2019-10-15	2019-10-16	24			
1000382	WH	02	P	CC-F01	20000	2019-10-16	2019-10-16	0			
1000384	WH	02	P	CC-F02	26000	2019-10-21	2019-10-22	24			
1000386	WH	02	P	CC-F02	20000	2019-10-17	2019-10-17	0			
1000388	WH	02	P	CC-F03	26000	2019-10-18	2019-10-21	24			
1000393	WH	02	P	CC-F03	20000	2019-10-22	2019-10-23	24			
1000395	WH	02	P	CC-F04	25331	2019-10-24	2019-10-25	24			
1000396	WH	02	P	CC-F05	24859	2019-10-23	2019-10-24	24			
1000398	WH	02	P	CC-F06	25748	2019-10-25	2019-10-28	24			
1000400	WH	02	P	CC-F11	23696	2019-10-29	2019-10-30	24			
1000403	WH	02	P	CC-F12	24336	2019-10-31	2019-11-01	24			
1000405	WH	02	P	CC-F13	20000	2019-10-30	2019-10-30	0			
1000406	WH	02	P	CC-F14	24203	2019-11-01	2019-11-04	24			
1000408	WH	02	P	CC-F15	20000	2019-11-04	2019-11-05	24			
1000410	WH	02	P	CC-F16	24331	2019-11-05	2019-11-06	24			
1000462	WH	02	P	CC-F01	20000	2019-11-07	2019-11-08	24			
1000464	WH	02	P	CC-F04	20000	2019-11-06	2019-11-07	24			
1000467	WH	02	P	CC-F05	20000	2019-11-11	2019-11-12	24			
1000469	WH	02	P	CC-F06	20000	2019-11-08	2019-11-11	24			
1000471	WH	02	P	CC-F11	20000	2019-11-12	2019-11-13	24			
1000473	WH	02	P	CC-F12	20000	2019-11-14	2019-11-15	24			
1000474	WH	02	P	CC-F14	20000	2019-11-15	2019-11-18	24			
1000475	WH	02	P	CC-F15	20000	2019-11-13	2019-11-14	24			
1000478	WH	02	P	CC-F16	20000	2019-11-18	2019-11-19	24			
1000511	WH	02	P	CC-F01	20000	2019-11-19	2019-11-19	0			
1000521	WH	02	P	CC-F02	21486	2019-11-20	2019-11-20	0			
1000522	WH	02	P	CC-F03	20000	2019-11-21	2019-11-21	0			
1000523	WH	02	P	CC-F04	20000	2019-11-26	2019-11-27	24			
1000524	WH	02	P	CC-F05	20000	2019-11-26	2019-11-26	0			
1000525	WH	02	P	CC-F06	20000	2019-11-22	2019-11-22	0			
1000526	WH	02	P	CC-F11	20000	2019-11-25	2019-11-25	0			
1000549	WH	02	P	CC-F01	21000	2019-11-27	2019-11-28	24			
1000550	WH	02	P	CC-F02	21597	2019-11-28	2019-11-29	24			
1000551	WH	02	P	CC-F03	21000	2019-11-29	2019-12-02	24			
1000553	WH	02	P	CC-F04	21000	2019-12-03	2019-12-04	24			
1000555	WH	02	P	CC-F05	21000	2019-12-02	2019-12-03	24			
1000557	WH	02	P	CC-F06	21000	2019-12-05	2019-12-06	24			
1000559	WH	02	P	CC-F11	21000	2019-12-04	2019-12-05	24			
1000560	WH	02	P	CC-F12	21000	2019-12-06	2019-12-09	24			
1000561	WH	02	P	CC-F14	21000	2019-12-10	2019-12-11	24			
1000564	WH	02	P	CC-F15	21000	2019-12-09	2019-12-10	24			
1000566	WH	02	P	CC-F16	21000	2019-12-11	2019-12-12	24			
1000618	WH	02	P	CC-F01	21000	2019-12-12	2019-12-13	24			
1000619	WH	02	P	CC-F02	21000	2019-12-13	2019-12-16	24			
1000622	WH	02	P	CC-F03	21000	2019-12-16	2019-12-17	24			
1000624	WH	02	P	CC-F04	21000	2019-12-17	2019-12-18	24			
1000628	WH	02	P	CC-F05	21000	2019-12-18	2019-12-19	24			
1000630	WH	02	P	CC-F06	21000	2019-12-19	2019-12-20	24			
1000632	WH	02	P	CC-F11	21000	2019-12-20	2019-12-23	24			
1000636	WH	02	P	CC-F14	22764	2019-12-24	2019-12-25	24			
1000638	WH	02	P	CC-F15	21000	2019-12-23	2019-12-24	24			
1000641	WH	02	P	CC-F16	21000	2019-12-25	2019-12-26	24			
1000669	WH	02	P	CC-F01	21000	2019-12-26	2019-12-27	24			
1000671	WH	02	P	CC-F02	21000	2019-12-27	2019-12-30	24			
1000672	WH	02	P	CC-F03	21000	2019-12-30	2019-12-31	24			
1000673	WH	02	P	CC-F04	21000	2020-01-03	2020-01-06	24			
1000674	WH	02	P	CC-F06	21000	2020-01-02	2020-01-03	24			
1000675	WH	02	P	CC-F11	21000	2019-12-31	2020-01-02	48			
1000676	WH	02	P	CC-F12	21000	2020-01-06	2020-01-07	24			
1000677	WH	02	P	CC-F14	21000	2020-01-08	2020-01-09	24			
1000678	WH	02	P	CC-F16	21000	2020-01-07	2020-01-08	24			
1000698	WH	02	P	CC-F01	21000	2020-01-09	2020-01-09	0			
1000699	WH	02	P	CC-F02	21000	2020-01-10	2020-01-10	0			
1000700	WH	02	P	CC-F03	21000	2020-01-13	2020-01-13	0			
1000701	WH	02	P	CC-F04	21000	2020-01-15	2020-01-16	24			
1000702	WH	02	P	CC-F05	26499	2020-01-14	2020-01-15	24			
1000703	WH	02	P	CC-F06	21000	2020-01-16	2020-01-16	0			
1000704	WH	02	P	CC-F11	21000	2020-01-21	2020-01-21	0			
1000705	WH	02	P	CC-F12	21000	2020-01-20	2020-01-20	0			
1000706	WH	02	P	CC-F14	21000	2020-01-17	2020-01-17	0			
1000707	WH	02	P	CC-F16	21000	2020-01-21	2020-01-22	24			
1000781	WH	02	P	CC-F01	22000	2020-01-22	2020-01-23	24			
1000782	WH	02	P	CC-F02	22000	2020-01-28	2020-01-29	24			
1000783	WH	02	P	CC-F03	22000	2020-01-23	2020-01-24	24			
1000784	WH	02	P	CC-F04	22000	2020-01-24	2020-01-28	48			
1000785	WH	02	P	CC-F05	22000	2020-01-29	2020-01-30	24			
1000786	WH	02	P	CC-F06	22000	2020-02-05	2020-02-06	24			
1000787	WH	02	P	CC-F11	22000	2020-02-03	2020-02-04	24			
1000788	WH	02	P	CC-F13	22000	2020-02-04	2020-02-05	24			
1000790	WH	02	P	CC-F15	22000	2020-01-31	2020-02-03	24			
1000792	WH	02	P	CC-F16	22000	2020-01-30	2020-01-31	24			
1000835	WH	02	P	CC-F01	22000	2020-02-06	2020-02-07	24			
1000836	WH	02	P	CC-F02	22136	2020-02-13	2020-02-14	24			
1000837	WH	02	P	CC-F03	25892	2020-02-11	2020-02-12	24			
1000838	WH	02	P	CC-F04	22000	2020-02-12	2020-02-13	24			
1000839	WH	02	P	CC-F05	22000	2020-02-07	2020-02-10	24			
1000840	WH	02	P	CC-F06	22000	2020-02-10	2020-02-11	24			
1000841	WH	02	P	CC-F11	22000	2020-02-14	2020-02-17	24			
1000842	WH	02	P	CC-F14	22000	2020-02-18	2020-02-19	24			
1000843	WH	02	P	CC-F16	22000	2020-02-17	2020-02-18	24			
1000856	WH	02	P	CC-F01	25308	2020-02-21	2020-02-24	24			
1000857	WH	02	P	CC-F02	23000	2020-02-24	2020-02-25	24			
1000859	WH	02	P	CC-F03	23000	2020-02-25	2020-02-26	24			
1000861	WH	02	P	CC-F04	23000	2020-02-28	2020-02-28	0			
1000863	WH	02	P	CC-F05	23000	2020-02-27	2020-02-28	24			
1000865	WH	02	P	CC-F11	23000	2020-02-26	2020-02-27	24			
1000867	WH	02	P	CC-F14	23000	2020-03-02	2020-03-02	0			
1000869	WH	02	P	CC-F16	23000	2020-03-03	2020-03-03	0			
1000938	WH	02	P	CC-F01	23000	2020-03-06	2020-03-06	0			
1000939	WH	02	P	CC-F02	23000	2020-03-05	2020-03-05	0			
1000940	WH	02	P	CC-F03	23000	2020-03-10	2020-03-10	0			
1000941	WH	02	P	CC-F04	23000	2020-03-17	2020-03-17	0			
1000942	WH	02	P	CC-F05	23000	2020-03-13	2020-03-13	0			
1000943	WH	02	P	CC-F06	23000	2020-03-16	2020-03-16	0			
1000944	WH	02	P	CC-F11	23000	2020-03-11	2020-03-11	0			
1000945	WH	02	P	CC-F12	23000	2020-03-12	2020-03-12	0			
1000946	WH	02	P	CC-F14	23000	2020-03-18	2020-03-18	0			
1000947	WH	02	P	CC-F15	23000	2020-03-20	2020-03-20	0			
1000948	WH	02	P	CC-F16	23000	2020-03-19	2020-03-19	0			
1000969	WH	02	P	CC-F01	23000	2020-03-25	2020-03-26	24			
1000970	WH	02	P	CC-F02	27863	2020-03-26	2020-03-27	24			
1000971	WH	02	P	CC-F03	23000	2020-03-23	2020-03-24	24			
1000973	WH	02	P	CC-F04	23000	2020-03-24	2020-03-25	24			
1000975	WH	02	P	CC-F05	23000	2020-03-23	2020-03-23	0			
1000976	WH	02	P	CC-F06	23000	2020-03-30	2020-03-30	0			
1000977	WH	02	P	CC-F11	23000	2020-04-03	2020-04-03	0			
1000978	WH	02	P	CC-F13	23000	2020-04-01	2020-04-01	0			
1000979	WH	02	P	CC-F14	23000	2020-04-02	2020-04-02	0			
1000980	WH	02	P	CC-F16	23000	2020-03-31	2020-03-31	0			
1001026	WH	02	P	CC-F01	23000	2020-04-06	2020-04-06	0			
1001027	WH	02	P	CC-F02	23000	2020-04-14	2020-04-15	24			
1001028	WH	02	P	CC-F03	23000	2020-04-09	2020-04-14	72			
1001029	WH	02	P	CC-F04	23000	2020-04-08	2020-04-08	0			
1001030	WH	02	P	CC-F05	23000	2020-04-08	2020-04-09	24			
1001031	WH	02	P	CC-F11	23000	2020-04-07	2020-04-07	0			
1001032	WH	02	P	CC-F12	23000	2020-04-15	2020-04-16	24			
1001033	WH	02	P	CC-F14	23000	2020-04-20	2020-04-21	24			
1001034	WH	02	P	CC-F15	23000	2020-04-17	2020-04-20	24			
1001035	WH	02	P	CC-F16	23000	2020-04-16	2020-04-17	24			
