material_code	date	price
CC-R02	2019-07-02	4
CC-R03	2019-07-02	4.02
CC-R04	2019-07-02	1.07
CC-R05	2019-07-02	0.99
CC-R06	2019-07-02	0.92
CC-R01	2019-07-02	1.82
CC-P01	2019-07-02	0.28
CC-P02	2019-07-02	0.12
CC-P03	2019-07-02	0.21
CC-P04	2019-07-02	0.09
CC-R06	2019-07-16	0.84
CC-R01	2019-07-16	1.75
CC-R02	2019-07-16	3.93
CC-R03	2019-07-16	4.19
CC-R05	2019-07-16	0.94
CC-P03	2019-07-16	0.21
CC-P04	2019-07-16	0.09
CC-R01	2019-07-30	1.87
CC-R02	2019-07-30	4.01
CC-R03	2019-07-30	4.27
CC-R04	2019-07-30	1.34
CC-R05	2019-07-30	0.9
CC-R06	2019-07-30	0.75
CC-P01	2019-07-30	0.28
CC-P02	2019-07-30	0.12
CC-P03	2019-07-30	0.21
CC-P04	2019-07-30	0.09
CC-R04	2019-08-13	1.48
CC-R06	2019-08-13	0.71
CC-R05	2019-08-13	0.87
CC-R01	2019-08-13	1.95
CC-R02	2019-08-13	4.19
CC-R03	2019-08-13	4.43
CC-P01	2019-08-13	0.28
CC-P02	2019-08-13	0.12
CC-P03	2019-08-13	0.21
CC-P04	2019-08-13	0.09
CC-R05	2019-08-27	0.82
CC-R06	2019-08-27	0.67
CC-R04	2019-08-27	1.51
CC-R03	2019-08-27	4.68
CC-R02	2019-08-27	4.29
CC-R01	2019-08-27	1.79
CC-P02	2019-08-27	0.12
CC-P03	2019-08-27	0.21
CC-P04	2019-08-27	0.09
CC-P01	2019-08-27	0.28
CC-R01	2019-09-10	1.66
CC-R02	2019-09-10	4.2
CC-R03	2019-09-10	4.92
CC-R04	2019-09-10	1.43
CC-R05	2019-09-10	0.8
CC-R06	2019-09-10	0.63
CC-P01	2019-09-10	0.28
CC-P04	2019-09-10	0.09
CC-P03	2019-09-10	0.21
CC-P02	2019-09-10	0.12
CC-R01	2019-10-08	1.92
CC-R02	2019-10-08	4.52
CC-R03	2019-10-08	5.43
CC-R04	2019-10-08	1.05
CC-R05	2019-10-08	1.04
CC-R06	2019-10-08	0.6
CC-P04	2019-10-08	0.09
CC-P01	2019-10-08	0.28
CC-P02	2019-10-08	0.12
CC-P03	2019-10-08	0.21
CC-R06	2019-10-22	0.65
CC-R05	2019-10-22	1.12
CC-R04	2019-10-22	0.87
CC-R03	2019-10-22	5.4
CC-R01	2019-10-22	2.13
CC-R02	2019-10-22	4.65
CC-P01	2019-10-22	0.33
CC-P02	2019-10-22	0.16
CC-P03	2019-10-22	0.25
CC-P04	2019-10-22	0.14
CC-R04	2019-11-05	0.85
CC-R05	2019-11-05	1.2
CC-R02	2019-11-05	4.76
CC-R01	2019-11-05	2.3
CC-R03	2019-11-05	5.49
CC-R06	2019-11-05	0.66
CC-P04	2019-11-05	0.14
CC-P01	2019-11-05	0.33
CC-P02	2019-11-05	0.16
CC-P03	2019-11-05	0.25
CC-R05	2019-11-19	1.23
CC-R04	2019-11-19	0.65
CC-R03	2019-11-19	5.72
CC-R01	2019-11-19	2.43
CC-R06	2019-11-19	0.72
CC-R02	2019-11-19	4.98
CC-P04	2019-11-19	0.14
CC-P03	2019-11-19	0.25
CC-P01	2019-11-19	0.33
CC-P02	2019-11-19	0.16
CC-R01	2019-12-03	2.53
CC-R02	2019-12-03	5.24
CC-R03	2019-12-03	5.84
CC-R04	2019-12-03	0.69
CC-R05	2019-12-03	1.3
CC-R06	2019-12-03	0.69
CC-P01	2019-12-03	0.33
CC-P02	2019-12-03	0.16
CC-P03	2019-12-03	0.25
CC-P04	2019-12-03	0.14
CC-R03	2019-12-17	5.94
CC-R01	2019-12-17	2.36
CC-R04	2019-12-17	0.82
CC-R05	2019-12-17	1.29
CC-R06	2019-12-17	0.8
CC-R02	2019-12-17	5.21
CC-P01	2019-12-17	0.34
CC-P02	2019-12-17	0.16
CC-P03	2019-12-17	0.26
CC-P04	2019-12-17	0.14
CC-R04	2019-12-31	1.05
CC-R05	2019-12-31	1.28
CC-R01	2019-12-31	2.41
CC-R02	2019-12-31	5.45
CC-R03	2019-12-31	5.87
CC-R06	2019-12-31	0.9
CC-P04	2019-12-31	0.14
CC-P01	2019-12-31	0.34
CC-P02	2019-12-31	0.16
CC-P03	2019-12-31	0.26
CC-R06	2020-01-15	1.04
CC-R05	2020-01-15	1.12
CC-R04	2020-01-15	1.24
CC-R03	2020-01-15	5.77
CC-R01	2020-01-15	2.24
CC-R02	2020-01-15	5.65
CC-P04	2020-01-15	0.14
CC-P01	2020-01-15	0.34
CC-P02	2020-01-15	0.16
CC-P03	2020-01-15	0.26
CC-R01	2020-01-30	2.06
CC-R02	2020-01-30	5.76
CC-R03	2020-01-30	5.49
CC-R04	2020-01-30	1.36
CC-R05	2020-01-30	1.06
CC-R06	2020-01-30	1.29
CC-P04	2020-01-30	0.14
CC-P01	2020-01-30	0.34
CC-P02	2020-01-30	0.16
CC-P03	2020-01-30	0.26
CC-R06	2020-02-13	1.42
CC-R05	2020-02-13	1.03
CC-R04	2020-02-13	1.38
CC-R03	2020-02-13	5.17
CC-R01	2020-02-13	1.94
CC-R02	2020-02-13	5.75
CC-P01	2020-02-13	0.34
CC-P02	2020-02-13	0.16
CC-P03	2020-02-13	0.26
CC-P04	2020-02-13	0.14
CC-R04	2020-02-27	1.47
CC-R06	2020-02-27	1.15
CC-R05	2020-02-27	0.99
CC-R02	2020-02-27	5.62
CC-R01	2020-02-27	1.88
CC-R03	2020-02-27	5.12
CC-P02	2020-02-27	0.16
CC-P03	2020-02-27	0.26
CC-P04	2020-02-27	0.14
CC-P01	2020-02-27	0.34
CC-R01	2020-03-13	1.77
CC-R02	2020-03-13	5.45
CC-R03	2020-03-13	4.99
CC-R04	2020-03-13	1.6
CC-R05	2020-03-13	0.93
CC-R06	2020-03-13	0.89
CC-P02	2020-03-13	0.16
CC-P03	2020-03-13	0.26
CC-P01	2020-03-13	0.34
CC-P04	2020-03-13	0.14
CC-R01	2020-03-27	1.71
CC-R02	2020-03-27	5.21
CC-R03	2020-03-27	4.79
CC-R04	2020-03-27	1.51
CC-R05	2020-03-27	0.93
CC-R06	2020-03-27	0.77
CC-P01	2020-03-27	0.34
CC-P02	2020-03-27	0.16
CC-P03	2020-03-27	0.26
CC-P04	2020-03-27	0.14
CC-R01	2020-04-14	1.61
CC-R06	2020-04-14	0.79
CC-R05	2020-04-14	0.69
CC-R02	2020-04-14	4.98
CC-R04	2020-04-14	1.31
CC-R03	2020-04-14	4.67
CC-P01	2020-04-14	0.34
CC-P02	2020-04-14	0.16
CC-P03	2020-04-14	0.26
CC-P04	2020-04-14	0.14
CC-R06	2020-04-28	0.99
CC-R01	2020-04-28	1.71
CC-R02	2020-04-28	4.78
CC-R03	2020-04-28	4.52
CC-R04	2020-04-28	1.46
CC-R05	2020-04-28	0.64
CC-P04	2020-04-28	0.14
CC-P03	2020-04-28	0.26
CC-P01	2020-04-28	0.34
CC-P02	2020-04-28	0.16
CC-R01	2020-05-12	1.89
CC-R02	2020-05-12	4.57
