Iteration FitnessValue ScCosts FR
0 0.7182466486986512 339498.75000000006 0.962962962962963
1 0.7502439604965369 333657.46 1.0
2 0.7502439604965369 333657.46 1.0
3 0.7603226732468346 320192.9700000002 1.0
4 0.7682487863355472 309604.2100000005 1.0
5 0.7682487863355472 309604.2100000005 1.0
6 0.7682487863355472 309604.2100000005 1.0
7 0.7817134685221984 291616.28999999986 1.0
8 0.7817134685221984 291616.28999999986 1.0
9 0.7832913389775763 289508.3600000003 1.0
10 0.7924624691273932 277256.33999999985 1.0
11 0.8186384576777215 242286.95999999988 1.0
12 0.8186384576777215 242286.95999999988 1.0
13 0.8186384576777215 242286.95999999988 1.0
14 0.8186384576777215 242286.95999999988 1.0
15 0.8186384576777215 242286.95999999988 1.0
16 0.8186568942241513 242262.32999999984 1.0
17 0.8199721617879935 240505.2199999998 1.0
18 0.8234621034654797 235842.88999999987 1.0
19 0.8234621034654797 235842.88999999987 1.0
20 0.8280322186695672 229737.51999999993 1.0
21 0.8280322186695672 229737.51999999993 1.0
22 0.8286869219163979 228862.87999999992 1.0
23 0.8286869219163979 228862.87999999992 1.0
24 0.832362613857651 223952.39999999994 1.0
25 0.832362613857651 223952.39999999994 1.0
26 0.8339158872803176 221877.33000000002 1.0
27 0.8339158872803176 221877.33000000002 1.0
28 0.8346302641561127 220922.97 1.0
29 0.8346302641561127 220922.97 1.0
30 0.8360896107478404 218973.3800000001 1.0
31 0.8362272298733434 218789.52999999994 1.0
32 0.8373626082435991 217272.74 1.0
33 0.8376306979351893 216914.58999999997 1.0
34 0.8384156471860317 215865.9499999997 1.0
35 0.8384156471860317 215865.9499999997 1.0
36 0.8408990043291829 212548.3499999997 1.0
37 0.8408990043291829 212548.3499999997 1.0
38 0.8408990043291829 212548.3499999997 1.0
39 0.8408990043291829 212548.3499999997 1.0
40 0.8414115223549676 211863.65999999992 1.0
41 0.841957036035102 211134.89000000028 1.0
42 0.8421111604731825 210928.98999999987 1.0
43 0.8430734613661536 209643.41999999978 1.0
44 0.8430734613661536 209643.41999999978 1.0
45 0.8435076147128582 209063.41999999995 1.0
46 0.8443129691709959 207987.51999999952 1.0
47 0.8443129691709959 207987.51999999952 1.0
48 0.8443828678598152 207894.1399999997 1.0
49 0.8451408996031615 206881.46000000002 1.0
50 0.8451408996031615 206881.46000000002 1.0
51 0.8451408996031615 206881.46000000002 1.0
52 0.8451408996031615 206881.46000000002 1.0
53 0.8451408996031615 206881.46000000002 1.0
54 0.8451408996031615 206881.46000000002 1.0
55 0.8451408996031615 206881.46000000002 1.0
56 0.8451408996031615 206881.46000000002 1.0
57 0.8451408996031615 206881.46000000002 1.0
58 0.8451408996031615 206881.46000000002 1.0
59 0.8453733887203221 206570.86999999982 1.0
60 0.8453733887203221 206570.86999999982 1.0
61 0.845393793927617 206543.60999999996 1.0
62 0.84576825118915 206043.35999999987 1.0
63 0.8458874262828202 205884.15000000008 1.0
64 0.8458874262828202 205884.15000000008 1.0
65 0.8458874262828202 205884.15000000008 1.0
66 0.8461453133707628 205539.63000000015 1.0
67 0.8461453133707628 205539.63000000015 1.0
68 0.8461453133707628 205539.63000000015 1.0
69 0.8461453133707628 205539.63000000015 1.0
70 0.8461453133707628 205539.63000000015 1.0
71 0.8461496549042301 205533.8299999998 1.0
72 0.8461496549042301 205533.8299999998 1.0
73 0.8461496549042301 205533.8299999998 1.0
74 0.846210653449442 205452.33999999997 1.0
75 0.846210653449442 205452.33999999997 1.0
76 0.8462950962753762 205339.5299999998 1.0
77 0.8462950962753762 205339.5299999998 1.0
78 0.846332650539866 205289.36000000013 1.0
79 0.846332650539866 205289.36000000013 1.0
80 0.8463467605236339 205270.51000000004 1.0
81 0.8463830123280838 205222.08 1.0
82 0.8464461816400293 205137.69000000012 1.0
83 0.8464461816400293 205137.69000000012 1.0
84 0.8464552988603101 205125.50999999998 1.0
85 0.8464939385081669 205073.88999999996 1.0
86 0.8464939385081669 205073.88999999996 1.0
87 0.8464939385081669 205073.88999999996 1.0
88 0.8464939385081669 205073.88999999996 1.0
89 0.8464939385081669 205073.88999999996 1.0
90 0.8464939385081669 205073.88999999996 1.0
91 0.8464939385081669 205073.88999999996 1.0
92 0.8464939385081669 205073.88999999996 1.0
93 0.8464939385081669 205073.88999999996 1.0
94 0.8464939385081669 205073.88999999996 1.0
95 0.8464939385081669 205073.88999999996 1.0
96 0.8464939385081669 205073.88999999996 1.0
97 0.8464939385081669 205073.88999999996 1.0
98 0.8464939385081669 205073.88999999996 1.0
99 0.8464939385081669 205073.88999999996 1.0
100 0.8464939385081669 205073.88999999996 1.0
101 0.8464939385081669 205073.88999999996 1.0
102 0.8464939385081669 205073.88999999996 1.0
103 0.8466137648318575 204913.80999999994 1.0
104 0.8466137648318575 204913.80999999994 1.0
105 0.8466137648318575 204913.80999999994 1.0
106 0.8466137648318575 204913.80999999994 1.0
107 0.8466137648318575 204913.80999999994 1.0
108 0.8466137648318575 204913.80999999994 1.0
109 0.8466137648318575 204913.80999999994 1.0
110 0.8466137648318575 204913.80999999994 1.0
111 0.8466137648318575 204913.80999999994 1.0
112 0.8466137648318575 204913.80999999994 1.0
113 0.8466137648318575 204913.80999999994 1.0
114 0.8466137648318575 204913.80999999994 1.0
115 0.8466430701827599 204874.66000000012 1.0
116 0.8466430701827599 204874.66000000012 1.0
117 0.8466541410931008 204859.87000000014 1.0
118 0.8466541410931008 204859.87000000014 1.0
119 0.8466541410931008 204859.87000000014 1.0
120 0.8466541410931008 204859.87000000014 1.0
121 0.8466541410931008 204859.87000000014 1.0
122 0.8466541410931008 204859.87000000014 1.0
123 0.8466541410931008 204859.87000000014 1.0
124 0.8467097127214793 204785.6299999998 1.0
125 0.8467097127214793 204785.6299999998 1.0
126 0.8468614493161524 204582.92000000007 1.0
127 0.8468614493161524 204582.92000000007 1.0
128 0.8468614493161524 204582.92000000007 1.0
129 0.8468614493161524 204582.92000000007 1.0
130 0.8468614493161524 204582.92000000007 1.0
131 0.8468614493161524 204582.92000000007 1.0
132 0.8468614493161524 204582.92000000007 1.0
133 0.8468614493161524 204582.92000000007 1.0
134 0.8468614493161524 204582.92000000007 1.0
135 0.8468614493161524 204582.92000000007 1.0
136 0.8468614493161524 204582.92000000007 1.0
137 0.8468614493161524 204582.92000000007 1.0
138 0.8468614493161524 204582.92000000007 1.0
139 0.8468614493161524 204582.92000000007 1.0
140 0.8468614493161524 204582.92000000007 1.0
141 0.8468614493161524 204582.92000000007 1.0
142 0.8468614493161524 204582.92000000007 1.0
143 0.8468614493161524 204582.92000000007 1.0
144 0.8468614493161524 204582.92000000007 1.0
145 0.8468614493161524 204582.92000000007 1.0
146 0.8468614493161524 204582.92000000007 1.0
147 0.8468614493161524 204582.92000000007 1.0
148 0.8468614493161524 204582.92000000007 1.0
149 0.8468614493161524 204582.92000000007 1.0
150 0.8468614493161524 204582.92000000007 1.0
151 0.8468614493161524 204582.92000000007 1.0
152 0.8468614493161524 204582.92000000007 1.0
153 0.8468614493161524 204582.92000000007 1.0
154 0.8468614493161524 204582.92000000007 1.0
155 0.8468614493161524 204582.92000000007 1.0
156 0.8468614493161524 204582.92000000007 1.0
157 0.8468614493161524 204582.92000000007 1.0
158 0.8468614493161524 204582.92000000007 1.0
159 0.8468614493161524 204582.92000000007 1.0
160 0.8468614493161524 204582.92000000007 1.0
