from	to	material_code	cost	unit
02	02S	CC-F01	0.3	per unit
02	02S	CC-F02	0.4	per unit
02	02S	CC-F03	0.4	per unit
02	02S	CC-F04	0.28	per unit
02	02S	CC-F05	0.27	per unit
02	02S	CC-F06	0.31	per unit
02	02S	CC-F11	0.51	per unit
02	02S	CC-F12	0.66	per unit
02	02S	CC-F13	0.68	per unit
02	02S	CC-F14	0.45	per unit
02	02S	CC-F15	0.42	per unit
02	02S	CC-F16	0.55	per unit
02	02W	CC-F01	0.3	per unit
02	02W	CC-F02	0.4	per unit
02	02W	CC-F03	0.4	per unit
02	02W	CC-F04	0.28	per unit
02	02W	CC-F05	0.27	per unit
02	02W	CC-F06	0.31	per unit
02	02W	CC-F11	0.51	per unit
02	02W	CC-F12	0.66	per unit
02	02W	CC-F13	0.68	per unit
02	02W	CC-F14	0.45	per unit
02	02W	CC-F15	0.42	per unit
02	02W	CC-F16	0.55	per unit
02	02N	CC-F01	0.3	per unit
02	02N	CC-F02	0.4	per unit
02	02N	CC-F03	0.4	per unit
02	02N	CC-F04	0.28	per unit
02	02N	CC-F05	0.27	per unit
02	02N	CC-F06	0.31	per unit
02	02N	CC-F11	0.51	per unit
02	02N	CC-F12	0.66	per unit
02	02N	CC-F13	0.68	per unit
02	02N	CC-F14	0.45	per unit
02	02N	CC-F15	0.42	per unit
02	02N	CC-F16	0.55	per unit
P	02	CC-F01	0	per unit
P	02	CC-F02	0	per unit
P	02	CC-F03	0	per unit
P	02	CC-F04	0	per unit
P	02	CC-F05	0	per unit
P	02	CC-F06	0	per unit
P	02	CC-F11	0	per unit
P	02	CC-F12	0	per unit
P	02	CC-F13	0	per unit
P	02	CC-F14	0	per unit
P	02	CC-F15	0	per unit
P	02	CC-F16	0	per unit
V2	P	CC-P01	0	per unit
V2	P	CC-P02	0	per unit
V2	P	CC-P03	0	per unit
V2	P	CC-P04	0	per unit
V1	P	CC-R01	0	per unit
V1	P	CC-R02	0	per unit
V1	P	CC-R03	0	per unit
V1	P	CC-R04	0	per unit
V1	P	CC-R05	0	per unit
V1	P	CC-R06	0	per unit
02W	GC02W	CC-F01	0	per unit
02W	GC02W	CC-F02	0	per unit
02W	GC02W	CC-F03	0	per unit
02W	GC02W	CC-F04	0	per unit
02W	GC02W	CC-F05	0	per unit
02W	GC02W	CC-F06	0	per unit
02W	GC02W	CC-F11	0	per unit
02W	GC02W	CC-F12	0	per unit
02W	GC02W	CC-F13	0	per unit
02W	GC02W	CC-F14	0	per unit
02W	GC02W	CC-F15	0	per unit
02W	GC02W	CC-F16	0	per unit
02W	IG02W	CC-F01	0	per unit
02W	IG02W	CC-F02	0	per unit
02W	IG02W	CC-F03	0	per unit
02W	IG02W	CC-F04	0	per unit
02W	IG02W	CC-F05	0	per unit
02W	IG02W	CC-F06	0	per unit
02W	IG02W	CC-F11	0	per unit
02W	IG02W	CC-F12	0	per unit
02W	IG02W	CC-F13	0	per unit
02W	IG02W	CC-F14	0	per unit
02W	IG02W	CC-F15	0	per unit
02W	IG02W	CC-F16	0	per unit
02W	H02W	CC-F01	0	per unit
02W	H02W	CC-F02	0	per unit
02W	H02W	CC-F03	0	per unit
02W	H02W	CC-F04	0	per unit
02W	H02W	CC-F05	0	per unit
02W	H02W	CC-F06	0	per unit
02W	H02W	CC-F11	0	per unit
02W	H02W	CC-F12	0	per unit
02W	H02W	CC-F13	0	per unit
02W	H02W	CC-F14	0	per unit
02W	H02W	CC-F15	0	per unit
02W	H02W	CC-F16	0	per unit
02N	GC02N	CC-F01	0	per unit
02N	GC02N	CC-F02	0	per unit
02N	GC02N	CC-F03	0	per unit
02N	GC02N	CC-F04	0	per unit
02N	GC02N	CC-F05	0	per unit
02N	GC02N	CC-F06	0	per unit
02N	GC02N	CC-F11	0	per unit
02N	GC02N	CC-F12	0	per unit
02N	GC02N	CC-F13	0	per unit
02N	GC02N	CC-F14	0	per unit
02N	GC02N	CC-F15	0	per unit
02N	GC02N	CC-F16	0	per unit
02N	IG02N	CC-F01	0	per unit
02N	IG02N	CC-F02	0	per unit
02N	IG02N	CC-F03	0	per unit
02N	IG02N	CC-F04	0	per unit
